shift_id,date_key,shift_date,station_id,staff_id,shift_type,scheduled_start,scheduled_end,planned_hours,actual_hours,shift_status,missed_coverage_flag
SH000132,20250103,2025-01-03,ST001,EMP0028,Night,22:00,06:00,8,8,Completed,N
SH000133,20250103,2025-01-03,ST002,EMP0036,Early,05:30,13:30,8,8,Completed,N
SH000134,20250103,2025-01-03,ST002,EMP0063,Day,09:00,17:00,8,8,Completed,N
SH000135,20250103,2025-01-03,ST002,EMP0048,Day,09:00,17:00,8,8,Completed,N
SH000136,20250103,2025-01-03,ST002,EMP0063,Late,14:30,22:30,8,8,Completed,N
SH000137,20250103,2025-01-03,ST002,EMP0039,Late,14:30,22:30,8,0,No Show,Y
SH000138,20250103,2025-01-03,ST002,EMP0048,Night,22:00,06:00,8,8,Completed,N
SH000139,20250103,2025-01-03,ST003,EMP0029,Early,05:30,13:30,8,8,Completed,N
SH000140,20250103,2025-01-03,ST003,EMP0061,Day,09:00,17:00,8,8,Completed,N
SH000141,20250103,2025-01-03,ST003,EMP0029,Late,14:30,22:30,8,8,Completed,N
SH000142,20250103,2025-01-03,ST004,EMP0017,Early,05:30,13:30,8,0,Cancelled,Y
SH000143,20250103,2025-01-03,ST004,EMP0020,Day,09:00,17:00,8,8,Completed,N
SH000144,20250103,2025-01-03,ST004,EMP0020,Late,14:30,22:30,8,8,Completed,N
SH000145,20250103,2025-01-03,ST004,EMP0060,Night,22:00,06:00,8,8,Completed,N
SH000146,20250103,2025-01-03,ST005,EMP0015,Early,05:30,13:30,8,8,Completed,N
SH000147,20250103,2025-01-03,ST005,EMP0014,Day,09:00,17:00,8,8,Completed,N
SH000148,20250103,2025-01-03,ST005,EMP0062,Late,14:30,22:30,8,8,Completed,N
SH000149,20250103,2025-01-03,ST005,EMP0027,Night,22:00,06:00,8,8,Completed,N
SH000150,20250103,2025-01-03,ST006,EMP0022,Early,05:30,13:30,8,8,Completed,N
SH000151,20250103,2025-01-03,ST006,EMP0016,Day,09:00,17:00,8,5.4,Partial,Y
SH000152,20250103,2025-01-03,ST006,EMP0016,Late,14:30,22:30,8,8,Completed,N
SH000153,20250103,2025-01-03,ST006,EMP0022,Night,22:00,06:00,8,8,Completed,N
SH000154,20250103,2025-01-03,ST007,EMP0004,Early,05:30,13:30,8,8,Completed,N
SH000155,20250103,2025-01-03,ST007,EMP0003,Day,09:00,17:00,8,8,Completed,N
SH000156,20250103,2025-01-03,ST007,EMP0033,Late,14:30,22:30,8,8,Completed,N
SH000157,20250103,2025-01-03,ST008,EMP0042,Early,05:30,13:30,8,8,Completed,N
SH000158,20250103,2025-01-03,ST008,EMP0033,Day,09:00,17:00,8,8,Completed,N
SH000159,20250103,2025-01-03,ST008,EMP0033,Late,14:30,22:30,8,8,Completed,N
SH000160,20250103,2025-01-03,ST008,EMP0023,Night,22:00,06:00,8,8,Completed,N
SH000161,20250103,2025-01-03,ST009,EMP0055,Early,05:30,13:30,8,8,Completed,N
SH000162,20250103,2025-01-03,ST009,EMP0021,Day,09:00,17:00,8,8,Completed,N
SH000163,20250103,2025-01-03,ST009,EMP0005,Late,14:30,22:30,8,8,Completed,N
SH000164,20250103,2025-01-03,ST010,EMP0053,Early,05:30,13:30,8,8,Completed,N
SH000165,20250103,2025-01-03,ST010,EMP0011,Day,09:00,17:00,8,8,Completed,N
SH000166,20250103,2025-01-03,ST010,EMP0061,Day,09:00,17:00,8,8,Completed,N
SH000167,20250103,2025-01-03,ST010,EMP0057,Late,14:30,22:30,8,8,Completed,N
SH000168,20250103,2025-01-03,ST010,EMP0061,Late,14:30,22:30,8,8,Completed,N
SH000169,20250103,2025-01-03,ST010,EMP0042,Night,22:00,06:00,8,8,Completed,N
SH000170,20250103,2025-01-03,ST011,EMP0045,Early,05:30,13:30,8,8,Completed,N
SH000171,20250103,2025-01-03,ST011,EMP0045,Day,09:00,17:00,8,8,Completed,N
SH000172,20250103,2025-01-03,ST011,EMP0060,Late,14:30,22:30,8,8,Completed,N
SH000173,20250103,2025-01-03,ST012,EMP0029,Early,05:30,13:30,8,8,Completed,N
SH000174,20250103,2025-01-03,ST012,EMP0041,Day,09:00,17:00,8,4.9,Partial,Y
SH000175,20250103,2025-01-03,ST012,EMP0056,Late,14:30,22:30,8,8,Completed,N
SH000176,20250103,2025-01-03,ST012,EMP0041,Night,22:00,06:00,8,8,Completed,N
SH000177,20250103,2025-01-03,ST013,EMP0034,Early,05:30,13:30,8,0,Cancelled,Y
SH000178,20250103,2025-01-03,ST013,EMP0001,Day,09:00,17:00,8,8,Completed,N
SH000179,20250103,2025-01-03,ST013,EMP0016,Late,14:30,22:30,8,8,Completed,N
SH000180,20250103,2025-01-03,ST014,EMP0031,Early,05:30,13:30,8,8,Completed,N
SH000181,20250103,2025-01-03,ST014,EMP0013,Day,09:00,17:00,8,0,No Show,Y
SH000182,20250103,2025-01-03,ST014,EMP0002,Late,14:30,22:30,8,8,Completed,N
SH000183,20250103,2025-01-03,ST015,EMP0047,Early,05:30,13:30,8,8,Completed,N
SH000184,20250103,2025-01-03,ST015,EMP0044,Day,09:00,17:00,8,8,Completed,N
SH000185,20250103,2025-01-03,ST015,EMP0012,Late,14:30,22:30,8,8,Completed,N
SH000186,20250103,2025-01-03,ST016,EMP0014,Early,05:30,13:30,8,3.6,Partial,Y
SH000187,20250103,2025-01-03,ST016,EMP0011,Day,09:00,17:00,8,4.4,Partial,Y
SH000188,20250103,2025-01-03,ST016,EMP0010,Late,14:30,22:30,8,8,Completed,N
SH000189,20250104,2025-01-04,ST001,EMP0028,Early,05:30,13:30,8,8,Completed,N
SH000190,20250104,2025-01-04,ST001,EMP0057,Day,09:00,17:00,8,8,Completed,N
SH000191,20250104,2025-01-04,ST001,EMP0062,Day,09:00,17:00,8,8,Completed,N
SH000192,20250104,2025-01-04,ST001,EMP0012,Late,14:30,22:30,8,8,Completed,N
SH000193,20250104,2025-01-04,ST001,EMP0062,Late,14:30,22:30,8,8,Completed,N
SH000194,20250104,2025-01-04,ST001,EMP0028,Night,22:00,06:00,8,8,Completed,N
SH000195,20250104,2025-01-04,ST002,EMP0036,Early,05:30,13:30,8,8,Completed,N
SH000196,20250104,2025-01-04,ST002,EMP0064,Day,09:00,17:00,8,8,Completed,N
SH000197,20250104,2025-01-04,ST002,EMP0009,Day,09:00,17:00,8,8,Completed,N
SH000198,20250104,2025-01-04,ST002,EMP0036,Late,14:30,22:30,8,8,Completed,N
SH000199,20250104,2025-01-04,ST002,EMP0064,Late,14:30,22:30,8,8,Completed,N
SH000200,20250104,2025-01-04,ST002,EMP0064,Night,22:00,06:00,8,8,Completed,N
SH000201,20250104,2025-01-04,ST003,EMP0029,Early,05:30,13:30,8,8,Completed,N
SH000202,20250104,2025-01-04,ST003,EMP0055,Day,09:00,17:00,8,0,Cancelled,Y
SH000203,20250104,2025-01-04,ST003,EMP0049,Late,14:30,22:30,8,8,Completed,N
SH000204,20250104,2025-01-04,ST004,EMP0020,Early,05:30,13:30,8,8,Completed,N
SH000205,20250104,2025-01-04,ST004,EMP0017,Day,09:00,17:00,8,8,Completed,N
SH000206,20250104,2025-01-04,ST004,EMP0017,Late,14:30,22:30,8,8,Completed,N
SH000207,20250104,2025-01-04,ST004,EMP0025,Night,22:00,06:00,8,8,Completed,N
SH000208,20250104,2025-01-04,ST005,EMP0040,Early,05:30,13:30,8,8,Completed,N
SH000209,20250104,2025-01-04,ST005,EMP0014,Day,09:00,17:00,8,8,Completed,N
SH000210,20250104,2025-01-04,ST005,EMP0062,Late,14:30,22:30,8,8,Completed,N
SH000211,20250104,2025-01-04,ST006,EMP0024,Early,05:30,13:30,8,8,Completed,N
SH000212,20250104,2025-01-04,ST006,EMP0028,Day,09:00,17:00,8,8,Completed,N
SH000213,20250104,2025-01-04,ST006,EMP0024,Late,14:30,22:30,8,0,Cancelled,Y
SH000214,20250104,2025-01-04,ST006,EMP0013,Night,22:00,06:00,8,8,Completed,N
SH000215,20250104,2025-01-04,ST007,EMP0007,Early,05:30,13:30,8,8,Completed,N
SH000216,20250104,2025-01-04,ST007,EMP0025,Day,09:00,17:00,8,0,No Show,Y
SH000217,20250104,2025-01-04,ST007,EMP0007,Late,14:30,22:30,8,0,Cancelled,Y
SH000218,20250104,2025-01-04,ST008,EMP0022,Early,05:30,13:30,8,8,Completed,N
SH000219,20250104,2025-01-04,ST008,EMP0043,Day,09:00,17:00,8,8,Completed,N
SH000220,20250104,2025-01-04,ST008,EMP0042,Late,14:30,22:30,8,8,Completed,N
SH000221,20250104,2025-01-04,ST009,EMP0005,Early,05:30,13:30,8,8,Completed,N
SH000222,20250104,2025-01-04,ST009,EMP0036,Day,09:00,17:00,8,8,Completed,N
SH000223,20250104,2025-01-04,ST009,EMP0036,Late,14:30,22:30,8,8,Completed,N
SH000224,20250104,2025-01-04,ST010,EMP0057,Early,05:30,13:30,8,8,Completed,N
SH000225,20250104,2025-01-04,ST010,EMP0019,Day,09:00,17:00,8,8,Completed,N
SH000226,20250104,2025-01-04,ST010,EMP0019,Day,09:00,17:00,8,8,Completed,N
SH000227,20250104,2025-01-04,ST010,EMP0057,Late,14:30,22:30,8,8,Completed,N
SH000228,20250104,2025-01-04,ST010,EMP0011,Late,14:30,22:30,8,8,Completed,N
SH000229,20250104,2025-01-04,ST010,EMP0031,Night,22:00,06:00,8,5.7,Partial,Y
SH000230,20250104,2025-01-04,ST011,EMP0054,Early,05:30,13:30,8,8,Completed,N
SH000231,20250104,2025-01-04,ST011,EMP0045,Day,09:00,17:00,8,6.2,Partial,Y
SH000232,20250104,2025-01-04,ST011,EMP0020,Late,14:30,22:30,8,4.2,Partial,Y
SH000233,20250104,2025-01-04,ST011,EMP0005,Night,22:00,06:00,8,4,Partial,Y
SH000234,20250104,2025-01-04,ST012,EMP0046,Early,05:30,13:30,8,8,Completed,N
SH000235,20250104,2025-01-04,ST012,EMP0017,Day,09:00,17:00,8,8,Completed,N
SH000236,20250104,2025-01-04,ST012,EMP0015,Late,14:30,22:30,8,8,Completed,N
SH000237,20250104,2025-01-04,ST013,EMP0052,Early,05:30,13:30,8,8,Completed,N
SH000238,20250104,2025-01-04,ST013,EMP0034,Day,09:00,17:00,8,5.5,Partial,Y
SH000239,20250104,2025-01-04,ST013,EMP0052,Late,14:30,22:30,8,8,Completed,N
SH000240,20250104,2025-01-04,ST014,EMP0002,Early,05:30,13:30,8,8,Completed,N
SH000241,20250104,2025-01-04,ST014,EMP0019,Day,09:00,17:00,8,8,Completed,N
SH000242,20250104,2025-01-04,ST014,EMP0001,Late,14:30,22:30,8,8,Completed,N
SH000243,20250104,2025-01-04,ST015,EMP0012,Early,05:30,13:30,8,8,Completed,N
SH000244,20250104,2025-01-04,ST015,EMP0026,Day,09:00,17:00,8,8,Completed,N
SH000245,20250104,2025-01-04,ST015,EMP0026,Day,09:00,17:00,8,8,Completed,N
SH000246,20250104,2025-01-04,ST015,EMP0053,Late,14:30,22:30,8,8,Completed,N
SH000247,20250104,2025-01-04,ST016,EMP0032,Early,05:30,13:30,8,8,Completed,N
SH000248,20250104,2025-01-04,ST016,EMP0032,Day,09:00,17:00,8,0,Cancelled,Y
SH000249,20250104,2025-01-04,ST016,EMP0010,Late,14:30,22:30,8,8,Completed,N
SH000250,20250105,2025-01-05,ST001,EMP0040,Early,05:30,13:30,8,8,Completed,N
SH000251,20250105,2025-01-05,ST001,EMP0062,Day,09:00,17:00,8,8,Completed,N
SH000252,20250105,2025-01-05,ST001,EMP0040,Day,09:00,17:00,8,8,Completed,N
SH000253,20250105,2025-01-05,ST001,EMP0012,Late,14:30,22:30,8,8,Completed,N
SH000254,20250105,2025-01-05,ST001,EMP0028,Late,14:30,22:30,8,0,Cancelled,Y
SH000255,20250105,2025-01-05,ST001,EMP0047,Night,22:00,06:00,8,8,Completed,N
SH000256,20250105,2025-01-05,ST002,EMP0063,Early,05:30,13:30,8,8,Completed,N
SH000257,20250105,2025-01-05,ST002,EMP0063,Day,09:00,17:00,8,0,Cancelled,Y
SH000258,20250105,2025-01-05,ST002,EMP0063,Day,09:00,17:00,8,8,Completed,N
SH000259,20250105,2025-01-05,ST002,EMP0064,Late,14:30,22:30,8,8,Completed,N
SH000260,20250105,2025-01-05,ST002,EMP0009,Late,14:30,22:30,8,8,Completed,N
SH000261,20250105,2025-01-05,ST002,EMP0058,Night,22:00,06:00,8,8,Completed,N
SH000262,20250105,2025-01-05,ST003,EMP0049,Early,05:30,13:30,8,8,Completed,N
SH000263,20250105,2025-01-05,ST003,EMP0043,Day,09:00,17:00,8,8,Completed,N
SH000264,20250105,2025-01-05,ST003,EMP0058,Late,14:30,22:30,8,8,Completed,N
SH000265,20250105,2025-01-05,ST004,EMP0060,Early,05:30,13:30,8,8,Completed,N
SH000266,20250105,2025-01-05,ST004,EMP0054,Day,09:00,17:00,8,8,Completed,N
SH000267,20250105,2025-01-05,ST004,EMP0025,Late,14:30,22:30,8,8,Completed,N
SH000268,20250105,2025-01-05,ST005,EMP0014,Early,05:30,13:30,8,8,Completed,N
SH000269,20250105,2025-01-05,ST005,EMP0039,Day,09:00,17:00,8,8,Completed,N
SH000270,20250105,2025-01-05,ST005,EMP0015,Late,14:30,22:30,8,4.7,Partial,Y
SH000271,20250105,2025-01-05,ST006,EMP0064,Early,05:30,13:30,8,8,Completed,N
SH000272,20250105,2025-01-05,ST006,EMP0022,Day,09:00,17:00,8,8,Completed,N
SH000273,20250105,2025-01-05,ST006,EMP0044,Late,14:30,22:30,8,4,Partial,Y
SH000274,20250105,2025-01-05,ST006,EMP0022,Night,22:00,06:00,8,8,Completed,N
SH000275,20250105,2025-01-05,ST007,EMP0046,Early,05:30,13:30,8,8,Completed,N
SH000276,20250105,2025-01-05,ST007,EMP0003,Day,09:00,17:00,8,8,Completed,N
SH000277,20250105,2025-01-05,ST007,EMP0018,Late,14:30,22:30,8,8,Completed,N
SH000278,20250105,2025-01-05,ST008,EMP0037,Early,05:30,13:30,8,8,Completed,N
SH000279,20250105,2025-01-05,ST008,EMP0049,Day,09:00,17:00,8,8,Completed,N
SH000280,20250105,2025-01-05,ST008,EMP0024,Late,14:30,22:30,8,8,Completed,N
SH000281,20250105,2025-01-05,ST009,EMP0030,Early,05:30,13:30,8,8,Completed,N
SH000282,20250105,2025-01-05,ST009,EMP0036,Day,09:00,17:00,8,8,Completed,N
SH000283,20250105,2025-01-05,ST009,EMP0003,Late,14:30,22:30,8,8,Completed,N
SH000284,20250105,2025-01-05,ST010,EMP0042,Early,05:30,13:30,8,8,Completed,N
SH000285,20250105,2025-01-05,ST010,EMP0011,Day,09:00,17:00,8,0,No Show,Y
SH000286,20250105,2025-01-05,ST010,EMP0042,Day,09:00,17:00,8,8,Completed,N
SH000287,20250105,2025-01-05,ST010,EMP0031,Late,14:30,22:30,8,8,Completed,N
SH000288,20250105,2025-01-05,ST010,EMP0057,Late,14:30,22:30,8,8,Completed,N
SH000289,20250105,2025-01-05,ST010,EMP0053,Night,22:00,06:00,8,8,Completed,N
SH000290,20250105,2025-01-05,ST011,EMP0041,Early,05:30,13:30,8,8,Completed,N
SH000291,20250105,2025-01-05,ST011,EMP0054,Day,09:00,17:00,8,8,Completed,N
SH000292,20250105,2025-01-05,ST011,EMP0041,Late,14:30,22:30,8,8,Completed,N
