support_case_id,date_key,station_id,opened_at,closed_at,case_category,case_status,priority,channel,handling_hours,sla_target_hours,sla_breached_flag,repeat_contact_flag
CASE000090,20250119,ST016,2025-01-19 09:11:00,2025-01-21 22:11:00,Ticketing / Refund,Resolved,Low,Mobile App,61,48,Y,N
CASE000091,20250119,ST013,2025-01-19 08:33:00,,Information Request,Open,High,Contact Centre,,24,N,N
CASE000092,20250119,ST002,2025-01-19 06:20:00,2025-01-21 03:20:00,Ticketing / Refund,Resolved,Urgent,Station Desk,45,48,N,N
CASE000093,20250119,ST012,2025-01-19 13:58:00,2025-01-23 05:58:00,Staff Conduct,Resolved,High,Email,88,72,Y,N
CASE000094,20250119,ST016,2025-01-19 14:03:00,2025-01-23 06:03:00,Service Disruption Complaint,Resolved,Medium,Contact Centre,88,72,Y,N
CASE000095,20250120,ST014,2025-01-20 21:41:00,2025-01-22 14:41:00,Information Request,Resolved,Low,Email,41,24,Y,N
CASE000096,20250120,ST006,2025-01-20 13:10:00,2025-01-20 14:10:00,Ticketing / Refund,Resolved,Medium,Email,1,48,N,N
CASE000097,20250120,ST006,2025-01-20 09:20:00,2025-01-20 23:20:00,Cleanliness Complaint,Resolved,Low,Mobile App,14,36,N,N
CASE000098,20250120,ST015,2025-01-20 21:17:00,,Delay Compensation,Pending Customer,Medium,Contact Centre,,96,N,N
CASE000099,20250121,ST010,2025-01-21 12:13:00,,Ticketing / Refund,Open,Medium,Mobile App,,48,N,Y
CASE000100,20250121,ST010,2025-01-21 19:23:00,,Delay Compensation,Pending Customer,High,Mobile App,,96,N,Y
CASE000101,20250121,ST014,2025-01-21 14:12:00,2025-01-24 18:12:00,Lost Property,Resolved,High,Web Form,76,72,Y,N
CASE000102,20250121,ST001,2025-01-21 10:50:00,2025-01-26 01:50:00,Delay Compensation,Resolved,Medium,Email,111,96,Y,N
CASE000103,20250122,ST006,2025-01-22 15:59:00,2025-01-24 18:59:00,Information Request,Resolved,Urgent,Email,51,24,Y,N
CASE000104,20250122,ST014,2025-01-22 06:27:00,2025-01-24 07:27:00,Ticketing / Refund,Resolved,High,Station Desk,49,48,Y,N
CASE000105,20250122,ST002,2025-01-22 09:51:00,2025-01-27 15:51:00,Delay Compensation,Resolved,Low,Station Desk,126,96,Y,N
CASE000106,20250123,ST010,2025-01-23 19:25:00,2025-01-24 13:25:00,Service Disruption Complaint,Resolved,Low,Contact Centre,18,72,N,N
CASE000107,20250123,ST008,2025-01-23 15:32:00,2025-01-24 22:32:00,Cleanliness Complaint,Resolved,Medium,Web Form,31,36,N,N
CASE000108,20250123,ST001,2025-01-23 12:37:00,2025-01-24 01:37:00,Accessibility Assistance,Resolved,Low,Contact Centre,13,12,Y,N
CASE000109,20250123,ST009,2025-01-23 17:59:00,,Delay Compensation,Open,Low,Contact Centre,,96,N,N
CASE000110,20250123,ST009,2025-01-23 18:01:00,,Ticketing / Refund,Open,Medium,Contact Centre,,48,N,N
CASE000111,20250123,ST001,2025-01-23 21:03:00,,Cleanliness Complaint,Pending Customer,Low,Contact Centre,,36,N,N
CASE000112,20250123,ST003,2025-01-23 07:23:00,2025-01-23 12:23:00,Information Request,Resolved,Low,Web Form,5,24,N,N
CASE000113,20250123,ST006,2025-01-23 11:28:00,2025-01-27 15:28:00,Ticketing / Refund,Resolved,Medium,Email,100,48,Y,N
CASE000114,20250124,ST006,2025-01-24 17:14:00,2025-01-27 10:14:00,Service Disruption Complaint,Resolved,Medium,Mobile App,65,72,N,Y
CASE000115,20250124,ST005,2025-01-24 12:35:00,2025-01-25 16:35:00,Lost Property,Resolved,Medium,Mobile App,28,72,N,N
CASE000116,20250124,ST010,2025-01-24 09:46:00,2025-01-24 10:46:00,Staff Conduct,Resolved,Low,Email,1,72,N,N
CASE000117,20250125,ST010,2025-01-25 17:39:00,,Delay Compensation,Pending Customer,Medium,Email,,96,N,N
CASE000118,20250125,ST005,2025-01-25 17:16:00,2025-01-27 18:16:00,Lost Property,Resolved,Low,Contact Centre,49,72,N,N
CASE000119,20250125,ST010,2025-01-25 15:27:00,2025-01-31 07:27:00,Staff Conduct,Resolved,Low,Email,136,72,Y,N
CASE000120,20250126,ST015,2025-01-26 12:18:00,2025-01-31 03:18:00,Lost Property,Resolved,Low,Email,111,72,Y,N
CASE000121,20250126,ST006,2025-01-26 09:07:00,2025-01-27 20:07:00,Cleanliness Complaint,Resolved,Medium,Email,35,36,N,N
CASE000122,20250126,ST003,2025-01-26 14:54:00,,Lost Property,Pending Customer,Medium,Contact Centre,,72,N,N
CASE000123,20250126,ST009,2025-01-26 07:55:00,2025-01-30 05:55:00,Delay Compensation,Resolved,Low,Contact Centre,94,96,N,N
CASE000124,20250126,ST003,2025-01-26 11:45:00,,Information Request,Open,High,Contact Centre,,24,N,N
CASE000125,20250126,ST015,2025-01-26 18:33:00,,Lost Property,Open,Low,Email,,72,N,N
CASE000126,20250126,ST014,2025-01-26 16:46:00,2025-01-27 08:46:00,Cleanliness Complaint,Resolved,Low,Contact Centre,16,36,N,N
CASE000127,20250126,ST015,2025-01-26 14:02:00,2025-01-27 16:02:00,Ticketing / Refund,Resolved,Low,Mobile App,26,48,N,N
CASE000128,20250127,ST014,2025-01-27 20:08:00,2025-01-30 13:08:00,Service Disruption Complaint,Resolved,Medium,Email,65,72,N,N
CASE000129,20250127,ST003,2025-01-27 15:14:00,,Delay Compensation,Open,Medium,Station Desk,,96,N,N
CASE000130,20250127,ST008,2025-01-27 18:02:00,2025-01-28 23:02:00,Information Request,Resolved,Medium,Station Desk,29,24,Y,N
CASE000131,20250127,ST006,2025-01-27 14:31:00,2025-01-29 01:31:00,Lost Property,Resolved,Medium,Email,35,72,N,Y
CASE000132,20250127,ST004,2025-01-27 19:14:00,2025-01-30 02:14:00,Lost Property,Resolved,Low,Web Form,55,72,N,N
CASE000133,20250128,ST013,2025-01-28 14:52:00,2025-01-29 21:52:00,Information Request,Resolved,Low,Web Form,31,24,Y,N
CASE000134,20250128,ST001,2025-01-28 18:24:00,,Ticketing / Refund,Escalated,Low,Contact Centre,,48,N,N
CASE000135,20250128,ST014,2025-01-28 13:46:00,2025-01-30 21:46:00,Service Disruption Complaint,Resolved,Medium,Mobile App,56,72,N,N
CASE000136,20250128,ST012,2025-01-28 13:05:00,,Lost Property,Pending Customer,Low,Mobile App,,72,N,N
CASE000137,20250129,ST005,2025-01-29 15:42:00,,Service Disruption Complaint,Escalated,Low,Web Form,,72,N,Y
CASE000138,20250129,ST006,2025-01-29 21:13:00,,Information Request,Open,High,Email,,24,N,N
CASE000139,20250129,ST002,2025-01-29 20:33:00,2025-02-01 05:33:00,Delay Compensation,Resolved,High,Mobile App,57,96,N,N
CASE000140,20250129,ST003,2025-01-29 06:49:00,2025-01-30 10:49:00,Cleanliness Complaint,Resolved,Medium,Web Form,28,36,N,N
CASE000141,20250129,ST007,2025-01-29 21:36:00,2025-01-30 08:36:00,Accessibility Assistance,Resolved,Medium,Mobile App,11,12,N,N
CASE000142,20250129,ST004,2025-01-29 22:25:00,2025-01-30 07:25:00,Accessibility Assistance,Resolved,Low,Contact Centre,9,12,N,N
CASE000143,20250129,ST003,2025-01-29 13:18:00,2025-01-29 15:18:00,Accessibility Assistance,Resolved,Low,Web Form,2,12,N,N
CASE000144,20250130,ST005,2025-01-30 22:30:00,2025-02-02 12:30:00,Ticketing / Refund,Resolved,Medium,Email,62,48,Y,N
CASE000145,20250130,ST007,2025-01-30 16:05:00,,Delay Compensation,Escalated,Low,Station Desk,,96,N,N
CASE000146,20250130,ST009,2025-01-30 17:32:00,2025-02-02 01:32:00,Lost Property,Resolved,High,Station Desk,56,72,N,N
CASE000147,20250131,ST007,2025-01-31 19:49:00,2025-02-09 10:49:00,Delay Compensation,Resolved,Medium,Station Desk,207,96,Y,Y
CASE000148,20250131,ST012,2025-01-31 19:56:00,2025-02-03 21:56:00,Staff Conduct,Resolved,High,Contact Centre,74,72,Y,Y
CASE000149,20250131,ST009,2025-01-31 19:17:00,,Accessibility Assistance,Open,Low,Station Desk,,12,N,Y
CASE000150,20250131,ST006,2025-01-31 22:58:00,2025-02-01 15:58:00,Accessibility Assistance,Resolved,Low,Email,17,12,Y,N
CASE000151,20250131,ST006,2025-01-31 09:07:00,,Ticketing / Refund,Pending Customer,Medium,Mobile App,,48,N,N
CASE000152,20250201,ST003,2025-02-01 17:13:00,2025-02-02 13:13:00,Ticketing / Refund,Resolved,Low,Contact Centre,20,48,N,N
CASE000153,20250201,ST002,2025-02-01 08:32:00,,Service Disruption Complaint,Open,Medium,Web Form,,72,N,N
CASE000154,20250201,ST010,2025-02-01 11:00:00,2025-02-02 22:00:00,Ticketing / Refund,Resolved,Low,Mobile App,35,48,N,N
CASE000155,20250201,ST008,2025-02-01 09:04:00,,Service Disruption Complaint,Open,High,Email,,72,N,N
CASE000156,20250202,ST001,2025-02-02 16:27:00,,Lost Property,Pending Customer,Urgent,Mobile App,,72,N,N
CASE000157,20250202,ST003,2025-02-02 22:11:00,2025-02-11 06:11:00,Staff Conduct,Resolved,Medium,Contact Centre,200,72,Y,N
CASE000158,20250202,ST010,2025-02-02 13:20:00,2025-02-03 18:20:00,Ticketing / Refund,Resolved,Medium,Email,29,48,N,Y
CASE000159,20250202,ST015,2025-02-02 21:00:00,2025-02-06 05:00:00,Service Disruption Complaint,Resolved,Low,Email,80,72,Y,N
CASE000160,20250202,ST012,2025-02-02 20:37:00,,Delay Compensation,Open,High,Email,,96,N,N
CASE000161,20250202,ST008,2025-02-02 07:31:00,2025-02-03 05:31:00,Cleanliness Complaint,Resolved,Low,Mobile App,22,36,N,N
CASE000162,20250202,ST008,2025-02-02 08:43:00,2025-02-11 01:43:00,Lost Property,Resolved,Low,Station Desk,209,72,Y,N
CASE000163,20250203,ST001,2025-02-03 10:27:00,2025-02-09 02:27:00,Ticketing / Refund,Resolved,Urgent,Station Desk,136,48,Y,N
CASE000164,20250203,ST001,2025-02-03 18:17:00,2025-02-10 22:17:00,Service Disruption Complaint,Resolved,Medium,Station Desk,172,72,Y,N
CASE000165,20250203,ST004,2025-02-03 16:25:00,2025-02-04 10:25:00,Information Request,Resolved,Medium,Contact Centre,18,24,N,N
CASE000166,20250203,ST001,2025-02-03 15:09:00,,Ticketing / Refund,Open,High,Mobile App,,48,N,N
CASE000167,20250203,ST001,2025-02-03 17:20:00,2025-02-11 20:20:00,Delay Compensation,Resolved,Medium,Email,195,96,Y,N
CASE000168,20250203,ST004,2025-02-03 07:10:00,2025-02-06 11:10:00,Ticketing / Refund,Resolved,High,Station Desk,76,48,Y,N
CASE000169,20250204,ST002,2025-02-04 09:10:00,,Staff Conduct,Escalated,High,Station Desk,,72,N,N
CASE000170,20250204,ST001,2025-02-04 06:55:00,,Staff Conduct,Open,Medium,Station Desk,,72,N,N
CASE000171,20250204,ST002,2025-02-04 11:10:00,2025-02-06 00:10:00,Information Request,Resolved,Medium,Web Form,37,24,Y,N
CASE000172,20250204,ST004,2025-02-04 21:48:00,2025-02-10 00:48:00,Lost Property,Resolved,Medium,Email,123,72,Y,Y
CASE000173,20250204,ST002,2025-02-04 12:10:00,2025-02-09 07:10:00,Delay Compensation,Resolved,High,Web Form,115,96,Y,N
CASE000174,20250204,ST007,2025-02-04 10:11:00,,Accessibility Assistance,Pending Customer,High,Mobile App,,12,N,N
CASE000175,20250204,ST002,2025-02-04 22:04:00,2025-02-06 12:04:00,Ticketing / Refund,Resolved,Medium,Web Form,38,48,N,N
CASE000176,20250205,ST001,2025-02-05 12:34:00,2025-02-05 13:34:00,Ticketing / Refund,Resolved,Low,Station Desk,1,48,N,N
CASE000177,20250205,ST006,2025-02-05 14:45:00,2025-02-06 07:45:00,Information Request,Resolved,Medium,Email,17,24,N,N
CASE000178,20250205,ST010,2025-02-05 13:23:00,2025-02-06 17:23:00,Ticketing / Refund,Resolved,Medium,Station Desk,28,48,N,N
CASE000179,20250206,ST010,2025-02-06 08:21:00,,Ticketing / Refund,Pending Customer,Medium,Mobile App,,48,N,N
CASE000180,20250206,ST005,2025-02-06 07:26:00,2025-02-13 14:26:00,Ticketing / Refund,Resolved,Urgent,Mobile App,175,48,Y,N
CASE000181,20250206,ST016,2025-02-06 17:56:00,,Delay Compensation,Escalated,Low,Station Desk,,96,N,N
CASE000182,20250206,ST002,2025-02-06 18:29:00,2025-02-11 00:29:00,Staff Conduct,Resolved,Medium,Mobile App,102,72,Y,N
CASE000183,20250207,ST012,2025-02-07 06:42:00,2025-02-11 10:42:00,Lost Property,Resolved,High,Email,100,72,Y,N
CASE000184,20250207,ST004,2025-02-07 06:35:00,2025-02-07 13:35:00,Service Disruption Complaint,Resolved,Low,Station Desk,7,72,N,N
CASE000185,20250207,ST008,2025-02-07 07:27:00,,Cleanliness Complaint,Pending Customer,High,Contact Centre,,36,N,N
CASE000186,20250207,ST010,2025-02-07 22:42:00,,Accessibility Assistance,Open,Medium,Web Form,,12,N,N
CASE000187,20250208,ST014,2025-02-08 06:18:00,,Accessibility Assistance,Open,Medium,Contact Centre,,12,N,N
CASE000188,20250208,ST004,2025-02-08 16:45:00,,Lost Property,Open,Medium,Web Form,,72,N,N
CASE000189,20250208,ST008,2025-02-08 07:07:00,2025-02-09 02:07:00,Delay Compensation,Resolved,Low,Web Form,19,96,N,N
CASE000190,20250209,ST011,2025-02-09 09:04:00,,Service Disruption Complaint,Open,Medium,Web Form,,72,N,N
CASE000191,20250209,ST015,2025-02-09 12:40:00,2025-02-09 17:40:00,Ticketing / Refund,Resolved,Medium,Station Desk,5,48,N,N
CASE000192,20250209,ST007,2025-02-09 21:48:00,2025-02-12 00:48:00,Accessibility Assistance,Resolved,High,Station Desk,51,12,Y,N
CASE000193,20250209,ST001,2025-02-09 19:10:00,2025-02-10 02:10:00,Cleanliness Complaint,Resolved,Low,Station Desk,7,36,N,N
CASE000194,20250209,ST006,2025-02-09 11:35:00,2025-02-12 04:35:00,Lost Property,Resolved,Medium,Email,65,72,N,N
CASE000195,20250209,ST010,2025-02-09 09:41:00,2025-02-16 20:41:00,Service Disruption Complaint,Resolved,Medium,Mobile App,179,72,Y,N
CASE000196,20250209,ST010,2025-02-09 20:44:00,2025-02-10 08:44:00,Accessibility Assistance,Resolved,Medium,Station Desk,12,12,N,N
CASE000197,20250209,ST013,2025-02-09 22:45:00,2025-02-12 12:45:00,Service Disruption Complaint,Resolved,Low,Web Form,62,72,N,N
CASE000198,20250210,ST014,2025-02-10 08:07:00,2025-02-11 08:07:00,Information Request,Resolved,Medium,Web Form,24,24,N,N
CASE000199,20250210,ST006,2025-02-10 09:57:00,,Service Disruption Complaint,Open,Low,Station Desk,,72,N,N
CASE000200,20250210,ST006,2025-02-10 21:38:00,2025-02-11 19:38:00,Cleanliness Complaint,Resolved,Low,Mobile App,22,36,N,N
CASE000201,20250210,ST011,2025-02-10 16:02:00,,Delay Compensation,Pending Customer,Low,Contact Centre,,96,N,Y
CASE000202,20250210,ST001,2025-02-10 22:19:00,2025-02-12 09:19:00,Delay Compensation,Resolved,Urgent,Contact Centre,35,96,N,N
CASE000203,20250210,ST007,2025-02-10 20:39:00,2025-02-15 06:39:00,Delay Compensation,Resolved,Medium,Contact Centre,106,96,Y,N
CASE000204,20250211,ST002,2025-02-11 12:50:00,2025-02-12 07:50:00,Cleanliness Complaint,Resolved,Medium,Contact Centre,19,36,N,N
CASE000205,20250211,ST006,2025-02-11 13:04:00,,Service Disruption Complaint,Pending Customer,Low,Web Form,,72,N,N
