month_key,station_id,incident_count,support_case_count,resolved_incident_count,resolved_support_case_count,open_incident_count,avg_response_minutes,staffing_coverage_pct,incident_resolution_rate_pct,sla_breach_rate_pct,station_risk_score,monthly_incident_growth_pct
2026-04,ST003,6,10,6,8,0,17,92.8,100,33.3,23.2,200
2025-01,ST004,15,6,13,5,2,20.6,87.7,86.7,46.7,44.9,
2025-02,ST004,4,8,4,7,0,45.3,89.7,100,100,49.4,-73.3
2025-03,ST004,5,7,3,6,2,22.8,92.4,60,80,39.3,25
2025-04,ST004,9,9,6,6,3,24.9,92.4,66.7,66.7,45.5,80
2025-05,ST004,7,8,7,7,0,17.4,88.1,100,42.9,24.8,-22.2
2025-06,ST004,8,8,8,6,0,16.4,89,100,25,18.6,14.3
2025-07,ST004,5,9,5,7,0,20.2,95.1,100,60,26.2,-37.5
2025-08,ST004,2,12,2,12,0,13,89.9,100,50,23.6,-60
2025-09,ST004,10,11,9,10,1,23.9,90.4,90,30,26,400
2025-10,ST004,7,6,5,6,2,22.9,89.3,71.4,71.4,39,-30
2025-11,ST004,8,20,7,12,1,20.6,87.3,87.5,25,21.9,14.3
2025-12,ST004,8,8,7,5,1,28.1,90.8,87.5,37.5,28,0
2026-01,ST004,9,11,9,8,0,19.7,91.7,100,33.3,27,12.5
2026-02,ST004,5,7,4,6,1,23.8,92.7,80,40,22.8,-44.4
2026-03,ST004,4,14,2,12,2,24,87.9,50,50,44.5,-20
2026-04,ST004,10,10,8,6,2,32.8,87.5,80,60,37.5,150
2025-01,ST005,5,10,5,9,0,26.2,90.8,100,60,34,
2025-02,ST005,2,3,1,3,1,12,84.7,50,0,11.1,-60
2025-03,ST005,5,6,4,5,1,11.6,90.1,80,40,24.1,150
2025-04,ST005,1,2,1,0,0,5,85.7,100,0,7.7,-80
2025-05,ST005,1,5,1,2,0,9,90,100,0,5.5,0
2025-06,ST005,3,7,3,5,0,11.3,87.2,100,66.7,40.7,200
2025-07,ST005,2,5,1,3,1,5,91.4,50,0,7.8,-33.3
2025-08,ST005,3,5,3,4,0,26,91.4,100,66.7,38.6,50
2025-09,ST005,3,9,3,7,0,23,85.8,100,33.3,20.4,0
2025-10,ST005,6,8,5,7,1,13,89.5,83.3,66.7,34.3,100
2025-11,ST005,4,3,4,1,0,16.8,87,100,50,33.2,-33.3
2025-12,ST005,6,6,5,5,1,18.2,87.5,83.3,33.3,32.9,50
2026-01,ST005,6,4,5,4,1,15.8,89.7,83.3,66.7,38.9,0
2026-02,ST005,2,3,2,2,0,13,88.6,100,50,24.3,-66.7
2026-03,ST005,6,5,4,5,2,26.2,89.1,66.7,66.7,41.6,200
2026-04,ST005,7,3,6,3,1,17.6,90,85.7,71.4,40.2,16.7
2025-01,ST006,6,19,5,15,1,48.8,83,83.3,66.7,46.9,
2025-02,ST006,9,11,9,4,0,24.2,88.7,100,44.4,35.5,50
2025-03,ST006,8,13,6,10,2,16.4,86.8,75,37.5,32.4,-11.1
2025-04,ST006,6,17,5,12,1,31.5,93,83.3,50,36,-25
2025-05,ST006,14,12,11,7,3,28.4,85,78.6,35.7,42.9,133.3
2025-06,ST006,5,12,4,10,1,36.8,87.6,80,80,50.6,-64.3
2025-07,ST006,8,13,8,12,0,31.1,90,100,62.5,34.8,60
2025-08,ST006,12,12,9,8,3,17.7,88.7,75,58.3,44.5,50
2025-09,ST006,5,18,4,13,1,19.2,89.9,80,40,24.2,-58.3
2025-10,ST006,9,13,8,10,1,25.8,89.4,88.9,55.6,38.3,80
2025-11,ST006,6,14,6,11,0,42.8,90.8,100,66.7,40.6,-33.3
2025-12,ST006,16,10,13,5,3,20,91.8,81.3,56.3,46.8,166.7
2026-01,ST006,6,11,6,9,0,23.3,86.8,100,66.7,42.6,-62.5
2026-02,ST006,17,6,15,4,2,23.5,87.7,88.2,52.9,45.4,183.3
2026-03,ST006,7,14,7,11,0,24.4,90.5,100,42.9,31.6,-58.8
2026-04,ST006,6,20,5,16,1,40.7,93.2,83.3,100,53.4,-14.3
2025-01,ST007,8,5,8,2,0,28.3,88.1,100,37.5,23.5,
2025-02,ST007,3,11,3,7,0,27.7,91.3,100,33.3,17.7,-62.5
2025-03,ST007,8,17,5,11,3,32.3,91.7,62.5,75,42,166.7
2025-04,ST007,6,9,4,8,2,12.2,90.4,66.7,100,47.9,-25
2025-05,ST007,5,12,5,11,0,42,91.3,100,60,28.1,-16.7
2025-06,ST007,12,8,12,3,0,28.5,86.6,100,41.7,30.2,140
2025-07,ST007,11,16,10,13,1,17.5,91.2,90.9,18.2,21.8,-8.3
2025-08,ST007,7,10,6,5,1,28.4,89.7,85.7,42.9,26.4,-36.4
2025-09,ST007,5,9,5,4,0,21.2,88.9,100,40,33.5,-28.6
2025-10,ST007,10,8,8,7,2,19,89.1,80,30,26.3,100
2025-11,ST007,5,12,5,9,0,13.4,93.1,100,40,20.2,-50
2025-12,ST007,8,11,7,10,1,19.6,91,87.5,37.5,31.4,60
2026-01,ST007,11,7,10,6,1,23.2,87.8,90.9,54.5,33.6,37.5
2026-02,ST007,6,10,5,9,1,16.7,91.8,83.3,50,32,-45.5
2026-03,ST007,4,11,4,9,0,26.5,91.5,100,50,23.9,-33.3
2026-04,ST007,9,7,6,6,3,28.7,88.7,66.7,33.3,32.6,125
2025-01,ST008,8,6,7,5,1,32.4,90.7,87.5,37.5,28.1,
2025-02,ST008,4,13,4,9,0,25.8,93.7,100,75,31.6,-50
2025-03,ST008,11,9,8,7,3,21.8,87.5,72.7,36.4,34.8,175
2025-04,ST008,3,4,3,1,0,21,90.1,100,33.3,18.3,-72.7
2025-05,ST008,4,3,4,1,0,10.8,87,100,50,33.2,33.3
2025-06,ST008,6,10,6,8,0,24.2,88.6,100,50,26.5,50
2025-07,ST008,7,10,6,6,1,26.7,89.6,85.7,57.1,31.4,16.7
2025-08,ST008,5,9,2,9,3,23.8,90,40,40,34.5,-28.6
2025-09,ST008,6,12,6,11,0,22.7,96.1,100,50,22.8,20
2025-10,ST008,7,9,5,6,2,20.3,92.6,71.4,28.6,30.4,16.7
2025-11,ST008,9,7,9,4,0,18.9,91.7,100,44.4,24.6,28.6
2025-12,ST008,12,10,12,8,0,18.6,92.3,100,41.7,29.7,33.3
2026-01,ST008,6,7,6,5,0,33.2,89.9,100,83.3,42.2,-50
2026-02,ST008,8,4,7,3,1,25.1,85.2,87.5,50,38.7,33.3
2026-03,ST008,9,6,8,6,1,31.9,88.1,88.9,44.4,32,12.5
2026-04,ST008,7,13,6,11,1,13.4,91.9,85.7,42.9,29.3,-22.2
2025-01,ST009,2,10,1,7,1,43.5,95.1,50,50,23.5,
2025-02,ST009,7,7,5,7,2,18.6,89,71.4,42.9,37.2,250
2025-03,ST009,8,15,8,12,0,18.3,89.7,100,37.5,26.2,14.3
2025-04,ST009,6,5,6,3,0,23.7,88.1,100,50,31.4,-25
2025-05,ST009,9,7,7,7,2,19,89.6,77.8,44.4,33.6,50
2025-06,ST009,10,8,8,5,2,13.4,84.6,80,30,28.5,11.1
2025-07,ST009,8,8,7,7,1,14.5,86.6,87.5,25,22.3,-20
2025-08,ST009,5,11,3,7,2,26.8,86.5,60,60,35.3,-37.5
2025-09,ST009,4,4,3,1,1,25.8,93.5,75,50,25.4,-20
2025-10,ST009,18,8,11,7,7,22.7,90,61.1,50,50.8,350
2025-11,ST009,3,6,3,5,0,9.7,90.7,100,0,15.6,-83.3
2025-12,ST009,9,13,6,10,3,10,89.1,66.7,33.3,29.3,200
2026-01,ST009,9,8,8,4,1,19.2,87.5,88.9,33.3,34.6,0
2026-02,ST009,9,6,7,3,2,25.2,89.6,77.8,44.4,33.6,0
2026-03,ST009,8,5,7,5,1,21.9,90.1,87.5,50,32.8,-11.1
2026-04,ST009,7,8,7,8,0,28.6,90.4,100,71.4,33.6,-12.5
2025-01,ST010,12,12,10,9,2,17.6,91.3,83.3,33.3,29.7,
2025-02,ST010,16,21,14,14,2,20.4,89.6,87.5,37.5,37.2,33.3
2025-03,ST010,10,15,9,9,1,37.5,90.5,90,50,41.4,-37.5
2025-04,ST010,13,21,12,16,1,24.4,90.3,92.3,46.2,32.7,30
2025-05,ST010,10,13,7,11,3,32,86.4,70,50,42.6,-23.1
2025-06,ST010,14,17,13,15,1,27.1,89.8,92.9,64.3,43.7,40
2025-07,ST010,12,19,9,11,3,22,92.1,75,33.3,34.1,-14.3
2025-08,ST010,8,13,6,10,2,32.6,91,75,50,34.7,-33.3
2025-09,ST010,7,9,5,5,2,37.6,89.7,71.4,100,48.8,-12.5
2025-10,ST010,9,16,8,11,1,18.6,89.4,88.9,33.3,30.5,28.6
2025-11,ST010,7,20,7,14,0,18,90.9,100,28.6,18.4,-22.2
2025-12,ST010,10,17,9,14,1,18.1,89.9,90,40,38.1,42.9
2026-01,ST010,10,15,10,12,0,30.1,92.9,100,50,37.8,0
2026-02,ST010,8,12,7,9,1,31.3,89,87.5,75,45.5,-20
2026-03,ST010,9,21,8,17,1,26.1,88.2,88.9,55.6,38.9,12.5
2026-04,ST010,17,15,13,10,4,31.2,91.3,76.5,58.8,47.2,88.9
2025-01,ST011,4,5,3,5,1,18.8,89.5,75,25,18.6,
2025-02,ST011,1,2,1,0,0,20,85.5,100,0,7.8,-75
2025-03,ST011,4,6,4,5,0,37,85.4,100,50,27,300
2025-04,ST011,1,4,1,2,0,97,90,100,100,40.5,-75
2025-05,ST011,2,5,2,5,0,10,89.6,100,0,6.3,100
2025-06,ST011,3,4,3,3,0,42,83.4,100,66.7,33.3,50
2025-07,ST011,2,4,2,2,0,68.5,92.5,100,100,39.9,-33.3
2025-08,ST011,2,7,2,5,0,12.5,89.7,100,50,23.8,0
2025-09,ST011,2,4,1,2,1,12,91.9,50,50,25,0
2025-10,ST011,0,3,0,3,0,,89.2,0,0,5.4,-100
2025-11,ST011,2,2,2,2,0,22.5,84.6,100,50,26.3,
2025-12,ST011,3,6,3,5,0,23.3,89.1,100,66.7,30.4,50
2026-01,ST011,3,4,3,4,0,12.3,89.6,100,33.3,18.5,0
2026-02,ST011,4,5,4,4,0,23.3,94.1,100,25,13.9,33.3
2026-03,ST011,3,4,3,3,0,21.7,89.1,100,66.7,30.4,-25
2026-04,ST011,4,2,2,0,2,19.3,89.8,50,75,38.4,33.3
2025-01,ST012,3,3,3,2,0,15.7,86.9,100,33.3,19.9,
2025-02,ST012,2,4,0,2,2,31.5,89.3,0,50,42.8,-33.3
2025-03,ST012,2,8,1,8,1,41.5,90.5,50,50,25.8,0
2025-04,ST012,4,4,4,3,0,28.8,88.7,100,25,16.6,100
2025-05,ST012,4,8,4,3,0,23.3,82.1,100,50,28.7,0
2025-06,ST012,1,3,0,1,1,17,87.1,0,100,72.4,-75
2025-07,ST012,1,9,1,4,0,13,89.8,100,0,5.7,0
2025-08,ST012,1,6,0,4,1,30,92.5,0,0,6.7,0
2025-09,ST012,4,3,4,1,0,17.3,87.7,100,75,34.6,300
2025-10,ST012,4,5,2,4,2,22.3,91,50,50,29,0
2025-11,ST012,6,7,5,6,1,22.2,87.5,83.3,66.7,40,50
2025-12,ST012,2,2,2,2,0,22,88.6,100,50,38.3,-66.7
2026-01,ST012,2,7,2,7,0,18.5,87,100,50,25.1,0
2026-02,ST012,4,4,4,4,0,12.3,91.8,100,50,30.8,100
2026-03,ST012,7,7,6,5,1,27,86.4,85.7,42.9,28.1,75
2026-04,ST012,2,5,2,3,0,54.5,90.5,100,100,40.9,-71.4
2025-01,ST013,9,7,8,5,1,20.4,89.5,88.9,66.7,42.2,
2025-02,ST013,7,6,7,4,0,37.1,90.9,100,85.7,42.4,-22.2
2025-03,ST013,3,3,2,0,1,26.3,86.7,66.7,66.7,34,-57.1
2025-04,ST013,5,10,4,7,1,29.2,90.2,80,80,38,66.7
2025-05,ST013,1,7,0,7,1,4,90.7,0,0,7.6,-80
2025-06,ST013,9,13,7,9,2,29.1,93,77.8,66.7,39.7,800
2025-07,ST013,10,9,9,8,1,30,90.4,90,40,29.5,11.1
2025-08,ST013,5,7,5,6,0,23.8,90.9,100,80,35.3,-50
2025-09,ST013,5,11,4,9,1,39.4,89.4,80,60,37,0
2025-10,ST013,11,5,10,4,1,12.9,95.2,90.9,36.4,28.7,120
2025-11,ST013,13,10,11,6,2,10.3,91.7,84.6,15.4,30.1,18.2
2025-12,ST013,7,9,5,7,2,38.6,90.9,71.4,85.7,43.2,-46.2
2026-01,ST013,16,8,12,6,4,16.3,89.9,75,31.3,36.2,128.6
2026-02,ST013,9,12,9,10,0,20.4,92.7,100,33.3,23.4,-43.8
2026-03,ST013,8,9,6,7,2,18.5,93.3,75,37.5,29.2,-11.1
2026-04,ST013,8,7,6,5,2,15.1,90.1,75,12.5,29,0
2025-01,ST014,7,10,7,9,0,19.1,86.6,100,71.4,39.5,
2025-02,ST014,9,5,7,4,2,22.3,91.5,77.8,55.6,39.7,28.6
2025-03,ST014,3,5,3,3,0,15.3,87,100,33.3,29.1,-66.7
2025-04,ST014,5,8,3,7,2,13.2,87.8,60,40,27.7,66.7
2025-05,ST014,7,7,5,2,2,11.1,85.9,71.4,28.6,37.7,40
2025-06,ST014,7,5,7,4,0,45.6,91.4,100,85.7,38.1,0
2025-07,ST014,4,10,3,8,1,17,91.6,75,75,35.1,-42.9
2025-08,ST014,3,9,3,6,0,27.7,89.1,100,66.7,39.8,-25
2025-09,ST014,6,6,6,4,0,17,87.6,100,83.3,38.7,100
2025-10,ST014,7,15,6,12,1,17.6,90.1,85.7,42.9,30.2,16.7
2025-11,ST014,5,7,4,6,1,23.6,89.6,80,60,31.4,-28.6
2025-12,ST014,5,6,5,4,0,23.4,91.7,100,40,20.9,0
2026-01,ST014,4,7,3,4,1,14.5,88.3,75,50,28,-20
2026-02,ST014,11,4,10,4,1,16.8,90.9,90.9,36.4,30.8,175
2026-03,ST014,5,11,4,7,1,17,93.4,80,40,33.6,-54.5
2026-04,ST014,5,5,3,2,2,22.6,94.9,60,20,17.1,0
2025-01,ST015,9,7,7,3,2,14.8,84.7,77.8,22.2,34.5,
2025-02,ST015,7,11,6,8,1,13.7,86.8,85.7,42.9,31.9,-22.2
2025-03,ST015,9,10,9,6,0,19,90.9,100,44.4,28.2,28.6
2025-04,ST015,6,5,6,4,0,18,90.5,100,50,30.2,-33.3
2025-05,ST015,3,9,3,8,0,6.3,91.5,100,33.3,17.6,-50
2025-06,ST015,7,7,7,7,0,27,89.7,100,42.9,28,133.3
2025-07,ST015,4,9,4,8,0,16.5,86.5,100,25,24.7,-42.9
2025-08,ST015,7,3,7,3,0,17.1,89.6,100,28.6,19.1,75
2025-09,ST015,6,8,6,6,0,19.3,91.6,100,50,29.7,-14.3
2025-10,ST015,9,10,7,9,2,21.7,85.4,77.8,66.7,43.5,50
2025-11,ST015,8,7,7,7,1,23.8,85.5,87.5,37.5,30.7,-11.1
2025-12,ST015,3,9,2,6,1,10.3,90.7,66.7,33.3,20.4,-62.5
2026-01,ST015,6,8,6,7,0,19.7,84.7,100,33.3,27.3,100
2026-02,ST015,7,4,7,2,0,15.1,90.7,100,42.9,23.5,16.7
2026-03,ST015,8,7,7,6,1,22.5,89.9,87.5,75,41.6,14.3
2026-04,ST015,5,13,5,9,0,27.6,88.3,100,40,22.6,-37.5
2025-01,ST016,4,8,4,7,0,47,92.1,100,75,32.4,
2025-02,ST016,0,1,0,0,0,,91.6,0,0,4.2,-100
2025-03,ST016,4,4,4,2,0,19.8,82.4,100,25,19.7,
2025-04,ST016,6,6,6,4,0,17.8,93.8,100,50,28.6,50
2025-05,ST016,3,5,3,5,0,12,86.9,100,66.7,31.5,-50
2025-06,ST016,2,1,2,1,0,8,92.4,100,0,4.9,-33.3
2025-07,ST016,3,3,3,1,0,53.7,92.7,100,66.7,28.6,50
2025-08,ST016,1,5,1,5,0,56,93.4,100,100,38.8,-66.7
2025-09,ST016,2,3,2,1,0,32,86.1,100,50,25.6,100
2025-10,ST016,0,7,0,5,0,,94.9,0,0,2.5,-100
2025-11,ST016,5,7,5,5,0,15,90.9,100,40,21.3,
2025-12,ST016,7,3,6,3,1,15.9,87.5,85.7,42.9,27.5,40
2026-01,ST016,5,4,4,3,1,29.6,87.7,80,40,25.3,-28.6
2026-02,ST016,3,3,2,2,1,21.7,90.5,66.7,33.3,20.5,-40
2026-03,ST016,3,5,1,4,2,44.7,94.7,33.3,66.7,32.4,0
2026-04,ST016,2,10,1,7,1,46.5,92.4,50,100,42.3,-33.3
