incident_id,date_key,station_id,incident_type_id,opened_at,first_response_at,resolved_at,status,severity,response_minutes,resolution_minutes,sla_response_breached_flag,sla_resolution_breached_flag,reported_channel,location_detail,operational_note,repeat_issue_flag
INC000011,20250105,ST007,IT007,2025-01-05 17:13:00,2025-01-05 17:18:00,2025-01-05 17:46:00,Resolved,Critical,5,33,N,N,Station Desk,main concourse,passenger assistance team notified,N
INC000012,20250105,ST008,IT009,2025-01-05 13:56:00,2025-01-05 13:57:00,,Open,Moderate,1,,N,N,Control Room,lift lobby,manual log entry from station desk,N
INC000013,20250106,ST002,IT005,2025-01-06 11:17:00,2025-01-06 11:18:00,2025-01-08 04:26:00,Resolved,Major,1,2469,N,Y,Control Room,main concourse,requires facilities follow-up,N
INC000014,20250106,ST008,IT005,2025-01-06 19:42:00,2025-01-06 19:56:00,2025-01-08 00:37:00,Resolved,Critical,14,1735,N,Y,Supervisor Walkthrough,lift lobby,manual log entry from station desk,N
INC000015,20250106,ST002,IT003,2025-01-06 19:55:00,2025-01-06 20:02:00,2025-01-06 22:25:00,Resolved,Moderate,7,150,N,N,Mobile Radio,customer help point,passenger assistance team notified,N
INC000016,20250106,ST002,IT003,2025-01-06 15:50:00,2025-01-06 16:09:00,,Open,Moderate,19,,Y,N,Mobile Radio,bus interchange,seen in previous two weeks,N
INC000017,20250106,ST003,IT010,2025-01-06 10:12:00,2025-01-06 10:22:00,2025-01-07 15:06:00,Resolved,Moderate,10,1734,N,Y,Mobile Radio,platform stairs,linked to crowd control plan,N
INC000018,20250106,ST011,IT011,2025-01-06 19:05:00,2025-01-06 19:24:00,,In Progress,Moderate,19,,N,N,Station Desk,lift lobby,temporary signage installed,N
INC000019,20250106,ST002,IT005,2025-01-06 10:13:00,2025-01-06 10:28:00,,Open,Critical,15,,N,N,Mobile Radio,northbound platform,linked to crowd control plan,Y
INC000020,20250107,ST001,IT007,2025-01-07 17:34:00,2025-01-07 17:49:00,2025-01-08 02:01:00,Resolved,Moderate,15,507,N,Y,Supervisor Walkthrough,platform stairs,temporary signage installed,N
INC000021,20250107,ST008,IT001,2025-01-07 13:54:00,2025-01-07 15:07:00,2025-01-07 14:24:00,Resolved,Minor,73,30,Y,N,Passenger Help Point,staffed gate line,temporary signage installed,Y
INC000022,20250107,ST010,IT006,2025-01-07 08:49:00,2025-01-07 09:19:00,,In Progress,Minor,30,,Y,N,Station Desk,platform stairs,reported by service controller,N
INC000023,20250107,ST003,IT004,2025-01-07 16:21:00,2025-01-07 16:22:00,,Open,Critical,1,,N,N,Station Desk,bus interchange,requires facilities follow-up,N
INC000024,20250108,ST013,IT006,2025-01-08 13:28:00,2025-01-08 13:42:00,2025-01-09 11:17:00,Resolved,Minor,14,1309,N,Y,Control Room,lift lobby,linked to crowd control plan,Y
INC000025,20250108,ST004,IT011,2025-01-08 20:10:00,2025-01-08 20:28:00,2025-01-09 08:44:00,Resolved,Moderate,18,754,N,Y,Control Room,ticket hall,repeat complaint from morning peak,N
INC000026,20250108,ST006,IT011,2025-01-08 06:37:00,2025-01-08 07:47:00,2025-01-08 13:18:00,Resolved,Major,70,401,Y,N,Control Room,northbound platform,temporary signage installed,N
INC000027,20250108,ST007,IT006,2025-01-08 08:30:00,2025-01-08 09:59:00,2025-01-09 12:19:00,Resolved,Minor,89,1669,Y,Y,Supervisor Walkthrough,main concourse,requires facilities follow-up,N
INC000028,20250109,ST004,IT002,2025-01-09 06:44:00,2025-01-09 06:47:00,2025-01-09 09:28:00,Resolved,Critical,3,164,N,Y,Control Room,customer help point,seen in previous two weeks,Y
INC000029,20250109,ST002,IT002,2025-01-09 06:30:00,2025-01-09 06:37:00,2025-01-10 01:08:00,Resolved,Critical,7,1118,Y,Y,Mobile Radio,staffed gate line,repeat complaint from morning peak,Y
INC000030,20250109,ST004,IT005,2025-01-09 06:05:00,2025-01-09 06:08:00,,In Progress,Moderate,3,,N,N,Passenger Help Point,main concourse,requires facilities follow-up,N
INC000031,20250109,ST001,IT005,2025-01-09 22:42:00,2025-01-09 23:39:00,2025-01-10 20:51:00,Resolved,Moderate,57,1329,Y,N,Passenger Help Point,customer help point,linked to crowd control plan,N
INC000032,20250110,ST002,IT003,2025-01-10 11:59:00,2025-01-10 12:43:00,2025-01-10 18:53:00,Resolved,Critical,44,414,Y,Y,Mobile Radio,customer help point,temporary signage installed,Y
INC000033,20250111,ST011,IT006,2025-01-11 07:00:00,2025-01-11 07:11:00,2025-01-12 05:09:00,Resolved,Moderate,11,1329,N,Y,Supervisor Walkthrough,lift lobby,requires facilities follow-up,N
INC000034,20250111,ST005,IT005,2025-01-11 08:13:00,2025-01-11 09:14:00,2025-01-12 20:33:00,Resolved,Moderate,61,2180,Y,Y,Passenger Help Point,staffed gate line,passenger assistance team notified,N
INC000035,20250111,ST010,IT006,2025-01-11 17:54:00,2025-01-11 18:23:00,2025-01-12 01:07:00,Resolved,Minor,29,433,Y,N,Mobile Radio,staffed gate line,linked to crowd control plan,N
INC000036,20250112,ST015,IT009,2025-01-12 14:55:00,2025-01-12 15:11:00,2025-01-13 01:39:00,Resolved,Moderate,16,644,N,N,Passenger Help Point,staffed gate line,temporary signage installed,N
INC000037,20250112,ST004,IT009,2025-01-12 15:37:00,2025-01-12 15:44:00,2025-01-14 03:38:00,Resolved,Major,7,2161,N,Y,Supervisor Walkthrough,ticket hall,repeat complaint from morning peak,Y
INC000038,20250113,ST013,IT010,2025-01-13 11:58:00,2025-01-13 12:48:00,2025-01-14 10:59:00,Resolved,Minor,50,1381,Y,N,Station Desk,customer help point,passenger assistance team notified,Y
INC000039,20250113,ST005,IT001,2025-01-13 07:20:00,2025-01-13 07:41:00,2025-01-13 10:12:00,Resolved,Minor,21,172,Y,N,Passenger Help Point,staffed gate line,linked to crowd control plan,Y
INC000040,20250113,ST007,IT005,2025-01-13 08:55:00,2025-01-13 09:28:00,2025-01-14 00:42:00,Resolved,Major,33,947,Y,N,Control Room,bus interchange,reported by service controller,N
INC000041,20250113,ST010,IT003,2025-01-13 06:39:00,2025-01-13 06:47:00,2025-01-13 06:59:00,Resolved,Moderate,8,20,N,N,Control Room,staffed gate line,linked to crowd control plan,N
INC000042,20250113,ST016,IT006,2025-01-13 15:14:00,2025-01-13 16:22:00,2025-01-13 19:04:00,Resolved,Major,68,230,Y,N,Control Room,main concourse,repeat complaint from morning peak,N
INC000043,20250113,ST008,IT012,2025-01-13 13:49:00,2025-01-13 14:21:00,2025-01-13 21:35:00,Resolved,Major,32,466,Y,N,Supervisor Walkthrough,platform stairs,reported by service controller,N
INC000044,20250113,ST004,IT011,2025-01-13 12:57:00,2025-01-13 13:15:00,2025-01-13 18:06:00,Resolved,Moderate,18,309,N,N,Supervisor Walkthrough,staffed gate line,manual log entry from station desk,N
INC000045,20250114,ST004,IT007,2025-01-14 20:37:00,2025-01-14 21:51:00,2025-01-14 23:32:00,Resolved,Major,74,175,Y,N,Mobile Radio,bus interchange,linked to crowd control plan,N
INC000046,20250114,ST016,IT010,2025-01-14 15:49:00,2025-01-14 16:28:00,2025-01-16 00:32:00,Resolved,Moderate,39,1963,N,Y,Control Room,platform stairs,requires facilities follow-up,N
INC000047,20250114,ST009,IT003,2025-01-14 21:58:00,2025-01-14 22:08:00,2025-01-15 04:03:00,Resolved,Moderate,10,365,N,Y,Passenger Help Point,bus interchange,repeat complaint from morning peak,N
INC000048,20250114,ST001,IT001,2025-01-14 15:34:00,2025-01-14 15:38:00,,Open,Moderate,4,,N,N,Passenger Help Point,lift lobby,requires facilities follow-up,N
INC000049,20250114,ST009,IT010,2025-01-14 20:32:00,2025-01-14 21:49:00,,In Progress,Minor,77,,Y,N,Passenger Help Point,lift lobby,linked to crowd control plan,N
INC000050,20250114,ST002,IT012,2025-01-14 12:39:00,2025-01-14 13:23:00,2025-01-15 04:08:00,Resolved,Critical,44,929,Y,Y,Mobile Radio,staffed gate line,repeat complaint from morning peak,N
INC000051,20250114,ST006,IT005,2025-01-14 16:20:00,2025-01-14 17:07:00,2025-01-15 04:31:00,Resolved,Moderate,47,731,Y,N,Control Room,main concourse,requires facilities follow-up,N
INC000052,20250114,ST015,IT008,2025-01-14 15:22:00,2025-01-14 15:30:00,,Open,Major,8,,N,N,Mobile Radio,northbound platform,repeat complaint from morning peak,N
INC000053,20250114,ST010,IT007,2025-01-14 09:21:00,2025-01-14 09:28:00,2025-01-14 11:03:00,Resolved,Major,7,102,N,N,Control Room,main concourse,passenger assistance team notified,N
INC000054,20250114,ST013,IT003,2025-01-14 06:14:00,2025-01-14 06:30:00,2025-01-14 15:19:00,Resolved,Major,16,545,Y,Y,Station Desk,platform stairs,reported by service controller,N
INC000055,20250115,ST004,IT008,2025-01-15 22:13:00,2025-01-15 22:24:00,2025-01-16 07:03:00,Resolved,Critical,11,530,N,Y,Station Desk,bus interchange,reported by service controller,Y
INC000056,20250115,ST014,IT001,2025-01-15 06:52:00,2025-01-15 07:05:00,2025-01-15 13:39:00,Resolved,Major,13,407,Y,Y,Station Desk,lift lobby,manual log entry from station desk,N
INC000057,20250115,ST015,IT003,2025-01-15 22:55:00,2025-01-15 23:04:00,2025-01-16 00:04:00,Resolved,Moderate,9,69,N,N,Station Desk,lift lobby,requires facilities follow-up,Y
INC000058,20250115,ST001,IT011,2025-01-15 20:34:00,2025-01-15 20:52:00,,In Progress,Major,18,,N,N,Control Room,main concourse,temporary signage installed,N
INC000059,20250115,ST004,IT008,2025-01-15 05:26:00,2025-01-15 05:53:00,2025-01-15 12:35:00,Resolved,Major,27,429,Y,Y,Mobile Radio,northbound platform,temporary signage installed,Y
INC000060,20250115,ST007,IT003,2025-01-15 08:58:00,2025-01-15 09:41:00,2025-01-15 19:08:00,Resolved,Moderate,43,610,Y,Y,Supervisor Walkthrough,lift lobby,temporary signage installed,N
INC000061,20250115,ST007,IT008,2025-01-15 09:43:00,2025-01-15 09:54:00,2025-01-15 14:00:00,Resolved,Moderate,11,257,N,N,Control Room,platform stairs,temporary signage installed,N
INC000062,20250115,ST006,IT007,2025-01-15 12:59:00,2025-01-15 13:01:00,2025-01-15 17:00:00,Resolved,Moderate,2,241,N,Y,Passenger Help Point,staffed gate line,reported by service controller,N
INC000063,20250115,ST001,IT011,2025-01-15 19:32:00,2025-01-15 19:44:00,,In Progress,Moderate,12,,N,N,Control Room,main concourse,manual log entry from station desk,N
INC000064,20250116,ST014,IT012,2025-01-16 08:36:00,2025-01-16 08:42:00,2025-01-16 22:12:00,Resolved,Minor,6,816,N,Y,Control Room,northbound platform,seen in previous two weeks,N
INC000065,20250116,ST005,IT001,2025-01-16 07:57:00,2025-01-16 08:00:00,2025-01-16 17:21:00,Resolved,Moderate,3,564,N,Y,Supervisor Walkthrough,ticket hall,reported by service controller,N
INC000066,20250116,ST008,IT008,2025-01-16 18:33:00,2025-01-16 18:45:00,2025-01-16 23:30:00,Resolved,Moderate,12,297,N,N,Control Room,platform stairs,temporary signage installed,N
INC000067,20250116,ST003,IT010,2025-01-16 16:14:00,2025-01-16 16:55:00,2025-01-18 13:33:00,Resolved,Moderate,41,2719,N,Y,Mobile Radio,ticket hall,linked to crowd control plan,N
INC000068,20250117,ST002,IT010,2025-01-17 15:05:00,2025-01-17 15:35:00,,Escalated,Minor,30,,N,N,Passenger Help Point,staffed gate line,requires facilities follow-up,N
INC000069,20250117,ST002,IT012,2025-01-17 12:01:00,2025-01-17 12:02:00,2025-01-18 00:06:00,Resolved,Moderate,1,725,N,Y,Mobile Radio,ticket hall,reported by service controller,N
INC000070,20250117,ST007,IT009,2025-01-17 20:21:00,2025-01-17 20:43:00,2025-01-18 01:38:00,Resolved,Minor,22,317,N,N,Control Room,northbound platform,seen in previous two weeks,N
INC000071,20250118,ST010,IT011,2025-01-18 23:20:00,2025-01-18 23:36:00,2025-01-19 06:59:00,Resolved,Moderate,16,459,N,N,Mobile Radio,customer help point,reported by service controller,Y
INC000072,20250118,ST012,IT005,2025-01-18 15:40:00,2025-01-18 16:19:00,2025-01-18 16:00:00,Resolved,Moderate,39,20,Y,N,Supervisor Walkthrough,bus interchange,reported by service controller,N
INC000073,20250118,ST010,IT001,2025-01-18 06:22:00,2025-01-18 06:31:00,2025-01-18 07:57:00,Resolved,Moderate,9,95,N,N,Passenger Help Point,lift lobby,temporary signage installed,N
INC000074,20250118,ST002,IT009,2025-01-18 18:44:00,2025-01-18 18:45:00,2025-01-19 00:28:00,Resolved,Moderate,1,344,N,N,Supervisor Walkthrough,main concourse,temporary signage installed,N
INC000075,20250119,ST013,IT011,2025-01-19 11:38:00,2025-01-19 11:57:00,2025-01-20 04:04:00,Resolved,Moderate,19,986,N,Y,Station Desk,lift lobby,manual log entry from station desk,N
INC000076,20250119,ST010,IT011,2025-01-19 11:06:00,2025-01-19 11:25:00,2025-01-19 17:37:00,Resolved,Minor,19,391,N,N,Control Room,staffed gate line,passenger assistance team notified,N
INC000077,20250119,ST013,IT002,2025-01-19 09:57:00,2025-01-19 10:05:00,,Open,Critical,8,,Y,N,Passenger Help Point,customer help point,requires facilities follow-up,N
INC000078,20250120,ST003,IT007,2025-01-20 11:33:00,2025-01-20 11:40:00,2025-01-20 18:35:00,Resolved,Minor,7,422,N,Y,Passenger Help Point,northbound platform,reported by service controller,N
INC000079,20250120,ST014,IT002,2025-01-20 09:40:00,2025-01-20 09:47:00,2025-01-20 11:25:00,Resolved,Critical,7,105,Y,N,Passenger Help Point,main concourse,reported by service controller,N
INC000080,20250120,ST008,IT010,2025-01-20 11:10:00,2025-01-20 11:50:00,2025-01-21 03:44:00,Resolved,Critical,40,994,N,N,Control Room,lift lobby,temporary signage installed,N
INC000081,20250121,ST015,IT004,2025-01-21 10:52:00,2025-01-21 10:58:00,2025-01-21 13:56:00,Resolved,Minor,6,184,Y,Y,Station Desk,platform stairs,seen in previous two weeks,N
INC000082,20250121,ST001,IT011,2025-01-21 21:54:00,2025-01-21 22:17:00,2025-01-21 22:23:00,Resolved,Minor,23,29,Y,N,Passenger Help Point,bus interchange,temporary signage installed,N
INC000083,20250121,ST002,IT001,2025-01-21 08:41:00,2025-01-21 08:53:00,,In Progress,Minor,12,,N,N,Station Desk,northbound platform,manual log entry from station desk,N
INC000084,20250121,ST015,IT003,2025-01-21 13:02:00,2025-01-21 13:12:00,2025-01-21 13:22:00,Resolved,Minor,10,20,N,N,Station Desk,staffed gate line,seen in previous two weeks,N
INC000085,20250121,ST002,IT001,2025-01-21 13:06:00,2025-01-21 13:25:00,2025-01-21 13:26:00,Resolved,Moderate,19,20,Y,N,Station Desk,customer help point,seen in previous two weeks,N
INC000086,20250121,ST003,IT012,2025-01-21 09:51:00,2025-01-21 10:36:00,,Open,Minor,45,,Y,N,Supervisor Walkthrough,main concourse,linked to crowd control plan,N
INC000087,20250121,ST010,IT011,2025-01-21 09:13:00,2025-01-21 09:46:00,2025-01-21 13:37:00,Resolved,Moderate,33,264,Y,N,Supervisor Walkthrough,main concourse,passenger assistance team notified,N
INC000088,20250121,ST001,IT007,2025-01-21 07:26:00,2025-01-21 07:39:00,,In Progress,Moderate,13,,N,N,Supervisor Walkthrough,northbound platform,requires facilities follow-up,Y
INC000089,20250121,ST003,IT006,2025-01-21 20:01:00,2025-01-21 20:28:00,,In Progress,Major,27,,Y,N,Passenger Help Point,platform stairs,repeat complaint from morning peak,N
INC000090,20250122,ST012,IT003,2025-01-22 21:00:00,2025-01-22 21:07:00,2025-01-22 21:21:00,Resolved,Moderate,7,21,N,N,Passenger Help Point,northbound platform,manual log entry from station desk,N
INC000091,20250123,ST003,IT005,2025-01-23 12:47:00,2025-01-23 13:18:00,2025-01-24 09:56:00,Resolved,Moderate,31,1269,Y,N,Control Room,platform stairs,seen in previous two weeks,N
INC000092,20250123,ST011,IT011,2025-01-23 14:40:00,2025-01-23 15:07:00,2025-01-23 15:00:00,Resolved,Moderate,27,20,Y,N,Control Room,bus interchange,reported by service controller,N
INC000093,20250123,ST014,IT006,2025-01-23 13:07:00,2025-01-23 13:16:00,2025-01-24 09:25:00,Resolved,Minor,9,1218,N,Y,Mobile Radio,northbound platform,temporary signage installed,N
INC000094,20250123,ST001,IT006,2025-01-23 21:06:00,2025-01-23 21:15:00,2025-01-24 21:26:00,Resolved,Moderate,9,1460,N,Y,Passenger Help Point,lift lobby,reported by service controller,N
INC000095,20250123,ST004,IT006,2025-01-23 21:18:00,2025-01-23 22:27:00,2025-01-25 21:55:00,Resolved,Minor,69,2917,Y,Y,Mobile Radio,bus interchange,requires facilities follow-up,N
INC000096,20250123,ST005,IT001,2025-01-23 05:57:00,2025-01-23 06:09:00,2025-01-23 13:56:00,Resolved,Moderate,12,479,N,Y,Station Desk,platform stairs,requires facilities follow-up,N
INC000097,20250123,ST006,IT009,2025-01-23 09:06:00,2025-01-23 10:16:00,2025-01-23 12:40:00,Resolved,Major,70,214,Y,N,Supervisor Walkthrough,ticket hall,repeat complaint from morning peak,Y
INC000098,20250123,ST006,IT010,2025-01-23 16:58:00,2025-01-23 17:35:00,,In Progress,Minor,37,,N,N,Passenger Help Point,staffed gate line,requires facilities follow-up,Y
INC000099,20250123,ST015,IT007,2025-01-23 18:37:00,2025-01-23 18:47:00,2025-01-23 18:57:00,Resolved,Major,10,20,N,N,Supervisor Walkthrough,platform stairs,manual log entry from station desk,N
INC000100,20250124,ST014,IT007,2025-01-24 16:10:00,2025-01-24 16:29:00,2025-01-25 13:42:00,Resolved,Moderate,19,1292,Y,Y,Control Room,staffed gate line,repeat complaint from morning peak,N
INC000101,20250124,ST008,IT001,2025-01-24 10:04:00,2025-01-24 10:09:00,2025-01-24 17:20:00,Resolved,Minor,5,436,N,Y,Passenger Help Point,northbound platform,temporary signage installed,N
INC000102,20250124,ST010,IT005,2025-01-24 16:46:00,2025-01-24 17:10:00,,In Progress,Major,24,,N,N,Control Room,ticket hall,passenger assistance team notified,N
INC000103,20250124,ST004,IT012,2025-01-24 06:45:00,2025-01-24 07:02:00,2025-01-24 12:05:00,Resolved,Major,17,320,Y,N,Supervisor Walkthrough,customer help point,requires facilities follow-up,N
INC000104,20250125,ST015,IT006,2025-01-25 06:03:00,2025-01-25 06:17:00,,In Progress,Moderate,14,,N,N,Supervisor Walkthrough,northbound platform,passenger assistance team notified,Y
INC000105,20250125,ST005,IT012,2025-01-25 15:51:00,2025-01-25 16:25:00,2025-01-26 06:20:00,Resolved,Major,34,869,Y,Y,Supervisor Walkthrough,platform stairs,seen in previous two weeks,N
INC000106,20250126,ST015,IT007,2025-01-26 12:59:00,2025-01-26 13:38:00,2025-01-26 19:52:00,Resolved,Moderate,39,413,Y,Y,Passenger Help Point,northbound platform,seen in previous two weeks,Y
INC000107,20250126,ST007,IT003,2025-01-26 12:43:00,2025-01-26 12:52:00,2025-01-26 15:39:00,Resolved,Major,9,176,N,N,Control Room,ticket hall,passenger assistance team notified,N
INC000108,20250126,ST006,IT005,2025-01-26 09:46:00,2025-01-26 10:53:00,2025-01-26 10:06:00,Resolved,Critical,67,20,Y,N,Passenger Help Point,ticket hall,temporary signage installed,N
INC000109,20250126,ST004,IT001,2025-01-26 19:24:00,2025-01-26 19:32:00,2025-01-27 00:40:00,Resolved,Minor,8,316,N,Y,Supervisor Walkthrough,ticket hall,temporary signage installed,N
INC000110,20250126,ST004,IT010,2025-01-26 22:18:00,2025-01-26 22:21:00,2025-01-27 18:30:00,Resolved,Moderate,3,1212,N,N,Mobile Radio,platform stairs,passenger assistance team notified,Y
INC000111,20250127,ST014,IT003,2025-01-27 23:31:00,2025-01-28 00:09:00,2025-01-28 12:11:00,Resolved,Minor,38,760,Y,Y,Supervisor Walkthrough,ticket hall,seen in previous two weeks,N
INC000112,20250127,ST004,IT009,2025-01-27 08:47:00,2025-01-27 09:17:00,2025-01-27 15:56:00,Resolved,Moderate,30,429,Y,N,Control Room,lift lobby,reported by service controller,N
INC000113,20250127,ST001,IT006,2025-01-27 15:56:00,2025-01-27 16:02:00,2025-01-28 02:32:00,Resolved,Major,6,636,N,N,Station Desk,ticket hall,passenger assistance team notified,N
INC000114,20250128,ST001,IT009,2025-01-28 23:25:00,2025-01-28 23:48:00,,In Progress,Moderate,23,,N,N,Passenger Help Point,northbound platform,seen in previous two weeks,N
INC000115,20250128,ST001,IT009,2025-01-28 05:36:00,2025-01-28 06:00:00,,Open,Critical,24,,N,N,Control Room,lift lobby,requires facilities follow-up,N
INC000116,20250128,ST014,IT005,2025-01-28 09:46:00,2025-01-28 10:28:00,2025-01-30 01:52:00,Resolved,Major,42,2406,Y,Y,Supervisor Walkthrough,staffed gate line,repeat complaint from morning peak,Y
INC000117,20250129,ST013,IT003,2025-01-29 16:00:00,2025-01-29 16:07:00,2025-01-30 00:59:00,Resolved,Major,7,539,N,Y,Mobile Radio,main concourse,temporary signage installed,N
INC000118,20250130,ST002,IT005,2025-01-30 05:58:00,2025-01-30 06:11:00,2025-01-31 04:08:00,Resolved,Minor,13,1330,N,N,Control Room,platform stairs,repeat complaint from morning peak,N
INC000119,20250130,ST016,IT007,2025-01-30 13:15:00,2025-01-30 13:47:00,2025-01-30 15:01:00,Resolved,Moderate,32,106,Y,N,Station Desk,northbound platform,manual log entry from station desk,N
INC000120,20250130,ST010,IT005,2025-01-30 14:28:00,2025-01-30 15:02:00,2025-01-30 14:48:00,Resolved,Moderate,34,20,Y,N,Control Room,lift lobby,reported by service controller,N
INC000121,20250130,ST002,IT011,2025-01-30 20:03:00,2025-01-30 21:02:00,2025-01-31 03:46:00,Resolved,Moderate,59,463,Y,N,Mobile Radio,platform stairs,reported by service controller,N
INC000122,20250130,ST015,IT005,2025-01-30 10:20:00,2025-01-30 10:41:00,2025-01-31 00:33:00,Resolved,Major,21,853,N,N,Station Desk,staffed gate line,linked to crowd control plan,N
INC000123,20250130,ST007,IT007,2025-01-30 07:40:00,2025-01-30 07:54:00,2025-01-30 10:32:00,Resolved,Major,14,172,N,N,Passenger Help Point,lift lobby,manual log entry from station desk,N
INC000124,20250130,ST008,IT010,2025-01-30 15:40:00,2025-01-30 17:02:00,2025-01-30 22:10:00,Resolved,Minor,82,390,Y,N,Passenger Help Point,ticket hall,linked to crowd control plan,N
INC000125,20250130,ST011,IT005,2025-01-30 13:04:00,2025-01-30 13:22:00,2025-01-30 16:26:00,Resolved,Critical,18,202,N,N,Control Room,staffed gate line,passenger assistance team notified,N
INC000126,20250130,ST013,IT008,2025-01-30 14:28:00,2025-01-30 15:09:00,2025-01-30 18:26:00,Resolved,Minor,41,238,Y,N,Passenger Help Point,main concourse,manual log entry from station desk,N
INC000127,20250130,ST010,IT008,2025-01-30 05:09:00,2025-01-30 05:10:00,2025-01-30 08:03:00,Resolved,Moderate,1,174,N,N,Mobile Radio,northbound platform,passenger assistance team notified,N
INC000128,20250131,ST013,IT003,2025-01-31 16:18:00,2025-01-31 16:34:00,2025-01-31 23:49:00,Resolved,Major,16,451,Y,Y,Control Room,ticket hall,repeat complaint from morning peak,N
INC000129,20250201,ST001,IT001,2025-02-01 09:36:00,2025-02-01 09:47:00,2025-02-01 12:03:00,Resolved,Moderate,11,147,N,N,Control Room,platform stairs,reported by service controller,Y
INC000130,20250201,ST010,IT003,2025-02-01 06:39:00,2025-02-01 06:59:00,2025-02-01 12:24:00,Resolved,Moderate,20,345,Y,N,Mobile Radio,northbound platform,manual log entry from station desk,N
INC000131,20250201,ST005,IT011,2025-02-01 17:55:00,2025-02-01 18:08:00,,Escalated,Moderate,13,,N,N,Passenger Help Point,ticket hall,temporary signage installed,N
INC000132,20250202,ST001,IT005,2025-02-02 08:13:00,2025-02-02 09:15:00,,Escalated,Major,62,,Y,N,Supervisor Walkthrough,platform stairs,seen in previous two weeks,N
INC000133,20250202,ST015,IT007,2025-02-02 17:03:00,2025-02-02 17:23:00,2025-02-03 07:11:00,Resolved,Moderate,20,848,Y,Y,Mobile Radio,staffed gate line,seen in previous two weeks,N
INC000134,20250203,ST013,IT011,2025-02-03 19:22:00,2025-02-03 20:27:00,2025-02-04 07:01:00,Resolved,Minor,65,699,Y,Y,Control Room,staffed gate line,repeat complaint from morning peak,N
INC000135,20250203,ST002,IT005,2025-02-03 10:42:00,2025-02-03 11:10:00,,Open,Moderate,28,,N,N,Mobile Radio,customer help point,requires facilities follow-up,N
INC000136,20250203,ST013,IT011,2025-02-03 12:26:00,2025-02-03 12:54:00,2025-02-04 07:55:00,Resolved,Moderate,28,1169,Y,Y,Supervisor Walkthrough,bus interchange,passenger assistance team notified,Y
INC000137,20250204,ST009,IT007,2025-02-04 18:39:00,2025-02-04 19:17:00,2025-02-04 21:34:00,Resolved,Moderate,38,175,Y,N,Passenger Help Point,northbound platform,reported by service controller,N
INC000138,20250204,ST003,IT003,2025-02-04 05:23:00,2025-02-04 05:30:00,2025-02-04 11:59:00,Resolved,Moderate,7,396,N,Y,Station Desk,main concourse,passenger assistance team notified,N
INC000139,20250204,ST011,IT006,2025-02-04 22:05:00,2025-02-04 22:25:00,2025-02-05 11:23:00,Resolved,Minor,20,798,N,N,Passenger Help Point,main concourse,manual log entry from station desk,N
INC000140,20250205,ST010,IT010,2025-02-05 13:57:00,2025-02-05 14:48:00,2025-02-06 16:56:00,Resolved,Minor,51,1619,Y,Y,Control Room,platform stairs,manual log entry from station desk,N
INC000141,20250205,ST007,IT007,2025-02-05 10:08:00,2025-02-05 10:58:00,2025-02-05 13:27:00,Resolved,Minor,50,199,Y,Y,Mobile Radio,northbound platform,reported by service controller,N
INC000142,20250205,ST010,IT003,2025-02-05 08:49:00,2025-02-05 08:54:00,,In Progress,Major,5,,N,N,Control Room,main concourse,temporary signage installed,Y
