response_id,source_type,source_id,station_id,date_key,acknowledged_minutes,dispatch_minutes,site_arrival_minutes,resolution_minutes,sla_breached_flag
RT000091,Incident,INC000091,ST003,20250123,15,18,31,1269,Y
RT000092,Incident,INC000092,ST011,20250123,13,22,27,20,Y
RT000093,Incident,INC000093,ST014,20250123,4,7,9,1218,N
RT000094,Incident,INC000094,ST001,20250123,3,7,9,1460,N
RT000095,Incident,INC000095,ST004,20250123,34,39,69,2917,Y
RT000096,Incident,INC000096,ST005,20250123,4,6,12,479,N
RT000097,Incident,INC000097,ST006,20250123,28,42,70,214,Y
RT000098,Incident,INC000098,ST006,20250123,13,19,37,,N
RT000099,Incident,INC000099,ST015,20250123,3,7,10,20,N
RT000100,Incident,INC000100,ST014,20250124,6,13,19,1292,Y
RT000101,Incident,INC000101,ST008,20250124,3,3,5,436,N
RT000102,Incident,INC000102,ST010,20250124,13,12,24,,N
RT000103,Incident,INC000103,ST004,20250124,7,14,17,320,Y
RT000104,Incident,INC000104,ST015,20250125,6,9,14,,N
RT000105,Incident,INC000105,ST005,20250125,10,21,34,869,Y
RT000106,Incident,INC000106,ST015,20250126,15,31,39,413,Y
RT000107,Incident,INC000107,ST007,20250126,4,5,9,176,N
RT000108,Incident,INC000108,ST006,20250126,20,40,67,20,Y
RT000109,Incident,INC000109,ST004,20250126,4,5,8,316,N
RT000110,Incident,INC000110,ST004,20250126,1,1,3,1212,N
RT000111,Incident,INC000111,ST014,20250127,19,25,38,760,Y
RT000112,Incident,INC000112,ST004,20250127,11,18,30,429,Y
RT000113,Incident,INC000113,ST001,20250127,2,4,6,636,N
RT000114,Incident,INC000114,ST001,20250128,6,11,23,,N
RT000115,Incident,INC000115,ST001,20250128,12,15,24,,N
RT000116,Incident,INC000116,ST014,20250128,13,30,42,2406,Y
RT000117,Incident,INC000117,ST013,20250129,4,5,7,539,N
RT000118,Incident,INC000118,ST002,20250130,4,10,13,1330,N
RT000119,Incident,INC000119,ST016,20250130,17,20,32,106,Y
RT000120,Incident,INC000120,ST010,20250130,16,21,34,20,Y
RT000121,Incident,INC000121,ST002,20250130,22,42,59,463,Y
RT000122,Incident,INC000122,ST015,20250130,9,12,21,853,N
RT000123,Incident,INC000123,ST007,20250130,7,10,14,172,N
RT000124,Incident,INC000124,ST008,20250130,36,49,82,390,Y
RT000125,Incident,INC000125,ST011,20250130,5,13,18,202,N
RT000126,Incident,INC000126,ST013,20250130,11,29,41,238,Y
RT000127,Incident,INC000127,ST010,20250130,1,1,1,174,N
RT000128,Incident,INC000128,ST013,20250131,6,10,16,451,Y
RT000129,Incident,INC000129,ST001,20250201,4,5,11,147,N
RT000130,Incident,INC000130,ST010,20250201,9,14,20,345,Y
RT000131,Incident,INC000131,ST005,20250201,5,8,13,,N
RT000132,Incident,INC000132,ST001,20250202,33,36,62,,Y
RT000133,Incident,INC000133,ST015,20250202,10,13,20,848,Y
RT000134,Incident,INC000134,ST013,20250203,35,53,65,699,Y
RT000135,Incident,INC000135,ST002,20250203,12,19,28,,N
RT000136,Incident,INC000136,ST013,20250203,10,14,28,1169,Y
RT000137,Incident,INC000137,ST009,20250204,14,26,38,175,Y
RT000138,Incident,INC000138,ST003,20250204,4,5,7,396,N
RT000139,Incident,INC000139,ST011,20250204,6,16,20,798,N
RT000140,Incident,INC000140,ST010,20250205,28,26,51,1619,Y
RT000141,Incident,INC000141,ST007,20250205,25,42,50,199,Y
RT000142,Incident,INC000142,ST010,20250205,3,3,5,,N
RT000143,Incident,INC000143,ST001,20250205,31,33,58,792,Y
RT000144,Incident,INC000144,ST001,20250205,13,38,50,2281,Y
RT000145,Incident,INC000145,ST002,20250205,3,6,10,64,N
RT000146,Incident,INC000146,ST006,20250206,1,1,1,109,N
RT000147,Incident,INC000147,ST010,20250206,30,43,54,40,Y
RT000148,Incident,INC000148,ST003,20250206,5,9,15,20,N
RT000149,Incident,INC000149,ST009,20250207,6,10,20,224,N
RT000150,Incident,INC000150,ST015,20250207,5,9,13,262,N
RT000151,Incident,INC000151,ST014,20250207,5,11,15,363,Y
RT000152,Incident,INC000152,ST008,20250207,4,13,16,93,Y
RT000153,Incident,INC000153,ST003,20250207,15,25,49,652,Y
RT000154,Incident,INC000154,ST007,20250207,1,2,3,556,N
RT000155,Incident,INC000155,ST001,20250207,1,2,4,20,N
RT000156,Incident,INC000156,ST012,20250207,22,30,50,,Y
RT000157,Incident,INC000157,ST005,20250207,3,5,11,1281,N
RT000158,Incident,INC000158,ST006,20250208,1,1,2,2180,N
RT000159,Incident,INC000159,ST013,20250208,3,5,8,168,Y
RT000160,Incident,INC000160,ST014,20250208,22,29,40,356,Y
RT000161,Incident,INC000161,ST003,20250209,22,46,72,2266,Y
RT000162,Incident,INC000162,ST003,20250210,2,3,5,20,N
RT000163,Incident,INC000163,ST006,20250210,18,37,56,807,Y
RT000164,Incident,INC000164,ST010,20250210,12,18,24,2370,N
RT000165,Incident,INC000165,ST010,20250210,11,9,20,71,N
RT000166,Incident,INC000166,ST010,20250210,21,20,40,512,Y
RT000167,Incident,INC000167,ST006,20250210,22,36,74,125,Y
RT000168,Incident,INC000168,ST014,20250210,18,26,34,,Y
RT000169,Incident,INC000169,ST003,20250210,5,8,10,129,N
RT000170,Incident,INC000170,ST010,20250210,4,5,10,126,N
RT000171,Incident,INC000171,ST001,20250211,2,5,7,1343,N
RT000172,Incident,INC000172,ST015,20250211,1,1,1,,N
RT000173,Incident,INC000173,ST009,20250211,1,2,3,511,N
RT000174,Incident,INC000174,ST013,20250211,13,19,35,685,Y
RT000175,Incident,INC000175,ST013,20250211,14,41,56,93,Y
RT000176,Incident,INC000176,ST015,20250211,4,5,7,594,N
RT000177,Incident,INC000177,ST001,20250212,5,8,14,20,N
RT000178,Incident,INC000178,ST004,20250212,6,14,17,484,Y
RT000179,Incident,INC000179,ST014,20250212,11,21,40,2455,N
RT000180,Incident,INC000180,ST014,20250212,13,22,33,1068,Y
RT000181,Incident,INC000181,ST001,20250213,18,18,39,450,Y
RT000182,Incident,INC000182,ST001,20250213,6,14,23,228,Y
RT000183,Incident,INC000183,ST008,20250213,13,21,27,1135,Y
RT000184,Incident,INC000184,ST001,20250214,35,33,69,1265,Y
RT000185,Incident,INC000185,ST006,20250215,11,22,38,2342,Y
RT000186,Incident,INC000186,ST010,20250215,9,14,20,1584,N
RT000187,Incident,INC000187,ST010,20250215,1,1,1,,N
RT000188,Incident,INC000188,ST004,20250216,8,13,19,20,Y
RT000189,Incident,INC000189,ST006,20250216,4,4,8,786,N
RT000190,Incident,INC000190,ST009,20250216,4,5,10,,N
RT000191,Incident,INC000191,ST006,20250217,8,9,20,1072,Y
RT000192,Incident,INC000192,ST009,20250217,14,16,35,1188,Y
RT000193,Incident,INC000193,ST003,20250217,4,12,15,123,Y
RT000194,Incident,INC000194,ST015,20250217,4,6,9,373,N
RT000195,Incident,INC000195,ST001,20250217,5,7,10,32,Y
RT000196,Incident,INC000196,ST001,20250217,3,9,12,805,N
RT000197,Incident,INC000197,ST015,20250218,15,21,28,266,Y
RT000198,Incident,INC000198,ST002,20250219,2,4,8,361,N
RT000199,Incident,INC000199,ST001,20250219,4,9,12,2970,N
RT000200,Incident,INC000200,ST008,20250219,15,46,57,2264,Y
RT000201,Incident,INC000201,ST014,20250220,1,1,2,348,N
RT000202,Incident,INC000202,ST002,20250220,13,22,37,875,Y
RT000203,Incident,INC000203,ST010,20250220,1,1,2,602,N
RT000204,Incident,INC000204,ST010,20250220,14,23,34,1336,Y
RT000205,Incident,INC000205,ST002,20250220,1,1,1,1471,N
RT000206,Incident,INC000206,ST010,20250220,9,11,16,157,N
RT000207,Incident,INC000207,ST006,20250220,4,5,8,1545,N
RT000208,Incident,INC000208,ST002,20250221,9,10,17,325,Y
RT000209,Incident,INC000209,ST003,20250221,28,40,60,1033,Y
RT000210,Incident,INC000210,ST004,20250221,25,69,83,117,Y
RT000211,Incident,INC000211,ST004,20250221,23,36,62,302,Y
RT000212,Incident,INC000212,ST010,20250222,1,2,3,1464,N
RT000213,Incident,INC000213,ST003,20250222,8,9,16,557,Y
RT000214,Incident,INC000214,ST003,20250222,5,12,15,756,Y
RT000215,Incident,INC000215,ST010,20250223,6,14,18,35,Y
RT000216,Incident,INC000216,ST015,20250223,8,12,18,372,Y
RT000217,Incident,INC000217,ST008,20250224,1,2,3,237,N
RT000218,Incident,INC000218,ST003,20250225,7,11,16,20,Y
RT000219,Incident,INC000219,ST010,20250225,3,4,9,1357,N
RT000220,Incident,INC000220,ST014,20250225,9,11,23,273,Y
RT000221,Incident,INC000221,ST013,20250226,1,2,3,332,N
RT000222,Incident,INC000222,ST014,20250226,7,8,13,902,N
RT000223,Incident,INC000223,ST009,20250226,2,4,6,,N
RT000224,Incident,INC000224,ST001,20250226,23,38,45,943,N
RT000225,Incident,INC000225,ST001,20250226,7,13,21,1187,Y
RT000226,Incident,INC000226,ST001,20250226,34,36,78,1405,Y
RT000227,Incident,INC000227,ST001,20250226,4,11,14,1357,N
RT000228,Incident,INC000228,ST014,20250227,1,1,1,,N
RT000229,Incident,INC000229,ST007,20250227,9,23,30,2739,N
RT000230,Incident,INC000230,ST001,20250227,5,11,15,,N
RT000231,Incident,INC000231,ST012,20250228,7,10,13,,N
RT000232,Incident,INC000232,ST009,20250228,9,8,18,1727,Y
RT000233,Incident,INC000233,ST006,20250228,3,9,11,282,N
RT000234,Incident,INC000234,ST013,20250228,27,36,65,2884,Y
RT000235,Incident,INC000235,ST015,20250301,17,30,67,53,Y
RT000236,Incident,INC000236,ST010,20250301,9,11,21,,N
RT000237,Incident,INC000237,ST002,20250301,11,10,20,461,Y
RT000238,Incident,INC000238,ST013,20250301,2,2,5,,N
RT000239,Incident,INC000239,ST003,20250302,8,20,30,727,N
RT000240,Incident,INC000240,ST002,20250302,5,8,13,578,N
RT000241,Incident,INC000241,ST001,20250302,7,13,21,20,N
RT000242,Incident,INC000242,ST004,20250302,7,15,18,,Y
RT000243,Incident,INC000243,ST006,20250302,10,13,20,1773,N
RT000244,Incident,INC000244,ST008,20250303,5,6,10,424,N
RT000245,Incident,INC000245,ST011,20250304,10,17,28,2686,N
RT000246,Incident,INC000246,ST003,20250304,3,8,10,,N
RT000247,Incident,INC000247,ST010,20250304,2,5,9,973,N
RT000248,Incident,INC000248,ST009,20250304,8,21,27,264,Y
RT000249,Incident,INC000249,ST001,20250304,6,10,13,372,Y
RT000250,Incident,INC000250,ST007,20250304,25,31,56,20,Y
RT000251,Incident,INC000251,ST003,20250305,2,6,7,530,N
RT000252,Incident,INC000252,ST010,20250305,33,55,67,1251,Y
RT000253,Incident,INC000253,ST007,20250305,7,21,26,,Y
RT000254,Incident,INC000254,ST012,20250306,2,3,4,1292,N
RT000255,Incident,INC000255,ST011,20250306,7,10,16,429,N
RT000256,Incident,INC000256,ST015,20250306,11,12,21,1250,Y
RT000257,Incident,INC000257,ST010,20250306,34,79,102,1173,Y
RT000258,Incident,INC000258,ST008,20250306,4,4,8,1850,N
RT000259,Incident,INC000259,ST008,20250306,32,53,82,959,Y
RT000260,Incident,INC000260,ST006,20250307,3,5,8,325,N
RT000261,Incident,INC000261,ST007,20250307,1,1,1,150,N
RT000262,Incident,INC000262,ST010,20250307,2,5,6,20,N
RT000263,Incident,INC000263,ST003,20250308,1,3,4,558,N
RT000264,Incident,INC000264,ST006,20250308,1,1,1,20,N
RT000265,Incident,INC000265,ST009,20250308,3,7,12,498,N
RT000266,Incident,INC000266,ST002,20250308,15,22,28,830,Y
RT000267,Incident,INC000267,ST009,20250309,14,17,29,20,Y
RT000268,Incident,INC000268,ST013,20250309,13,19,29,547,Y
RT000269,Incident,INC000269,ST009,20250310,5,10,16,386,N
RT000270,Incident,INC000270,ST008,20250310,2,2,3,123,N
RT000271,Incident,INC000271,ST011,20250310,47,42,90,1184,Y
RT000272,Incident,INC000272,ST003,20250311,8,17,20,72,Y
RT000273,Incident,INC000273,ST006,20250311,11,29,40,,Y
RT000274,Incident,INC000274,ST008,20250311,5,9,11,,N
RT000275,Incident,INC000275,ST002,20250311,4,4,8,123,N
RT000276,Incident,INC000276,ST015,20250312,1,4,5,20,N
RT000277,Incident,INC000277,ST014,20250312,6,13,20,1374,N
RT000278,Incident,INC000278,ST002,20250312,13,23,42,536,Y
RT000279,Incident,INC000279,ST005,20250312,3,5,10,245,N
RT000280,Incident,INC000280,ST002,20250312,2,3,6,94,N
RT000281,Incident,INC000281,ST016,20250313,2,3,4,273,N
RT000282,Incident,INC000282,ST009,20250313,2,3,5,584,N
RT000283,Incident,INC000283,ST001,20250313,13,22,34,909,Y
RT000284,Incident,INC000284,ST007,20250313,24,58,76,1753,Y
RT000285,Incident,INC000285,ST004,20250314,7,9,15,178,N
RT000286,Incident,INC000286,ST003,20250314,3,5,9,1545,Y
RT000287,Incident,INC000287,ST006,20250314,7,10,15,547,Y
RT000288,Incident,INC000288,ST014,20250314,3,5,10,344,N
RT000289,Incident,INC000289,ST002,20250314,8,14,18,20,N
RT000290,Incident,INC000290,ST007,20250314,10,15,20,,N
RT000291,Incident,INC000291,ST010,20250314,31,45,86,1408,Y
RT000292,Incident,INC000292,ST016,20250314,19,47,56,20,Y
RT000293,Incident,INC000293,ST006,20250315,2,3,6,20,N
RT000294,Incident,INC000294,ST008,20250315,2,5,8,,N
RT000295,Incident,INC000295,ST008,20250315,14,35,41,2485,Y
RT000296,Incident,INC000296,ST003,20250316,1,2,5,432,N
RT000297,Incident,INC000297,ST003,20250317,9,8,17,376,Y
RT000298,Incident,INC000298,ST015,20250317,12,13,23,57,Y
RT000299,Incident,INC000299,ST005,20250317,1,2,2,,N
RT000300,Incident,INC000300,ST008,20250318,13,23,48,333,Y
RT000301,Incident,INC000301,ST015,20250318,1,2,5,235,N
RT000302,Incident,INC000302,ST001,20250318,5,7,10,474,N
RT000303,Incident,INC000303,ST001,20250318,6,11,19,1371,N
RT000304,Incident,INC000304,ST007,20250319,15,16,36,122,Y
RT000305,Incident,INC000305,ST008,20250319,1,1,2,,N
RT000306,Incident,INC000306,ST005,20250319,9,16,28,436,Y
RT000307,Incident,INC000307,ST001,20250319,5,11,14,1373,N
RT000308,Incident,INC000308,ST009,20250319,4,12,15,1721,N
RT000309,Incident,INC000309,ST016,20250319,7,11,17,20,N
RT000310,Incident,INC000310,ST009,20250320,5,10,16,981,N
RT000311,Incident,INC000311,ST013,20250320,17,21,45,2420,Y
RT000312,Incident,INC000312,ST010,20250320,5,11,19,1733,Y
RT000313,Incident,INC000313,ST003,20250320,10,16,27,551,N
RT000314,Incident,INC000314,ST003,20250321,24,36,43,2107,Y
RT000315,Incident,INC000315,ST002,20250321,8,10,20,20,Y
RT000316,Incident,INC000316,ST016,20250321,1,1,2,118,N
RT000317,Incident,INC000317,ST015,20250321,2,2,3,140,N
RT000318,Incident,INC000318,ST009,20250322,7,22,26,570,Y
RT000319,Incident,INC000319,ST005,20250322,3,4,6,152,N
RT000320,Incident,INC000320,ST002,20250323,3,3,5,121,N
RT000321,Incident,INC000321,ST014,20250323,6,9,16,236,Y
RT000322,Incident,INC000322,ST002,20250323,3,5,9,156,Y
RT000323,Incident,INC000323,ST002,20250323,1,1,1,115,N
RT000324,Incident,INC000324,ST015,20250323,6,10,14,2234,N
RT000325,Incident,INC000325,ST004,20250324,4,4,8,144,Y
RT000326,Incident,INC000326,ST007,20250324,4,7,12,387,Y
RT000327,Incident,INC000327,ST010,20250324,8,10,21,363,Y
RT000328,Incident,INC000328,ST003,20250324,8,9,16,536,N
RT000329,Incident,INC000329,ST006,20250325,3,5,8,376,N
RT000330,Incident,INC000330,ST004,20250325,24,21,45,,Y
RT000331,Incident,INC000331,ST010,20250325,16,32,42,1526,N
RT000332,Incident,INC000332,ST008,20250326,7,16,21,944,Y
RT000333,Incident,INC000333,ST011,20250326,4,10,14,275,Y
RT000334,Incident,INC000334,ST002,20250326,6,13,21,20,N
RT000335,Incident,INC000335,ST008,20250326,3,3,6,235,N
RT000336,Incident,INC000336,ST010,20250326,1,2,2,35,N
RT000337,Incident,INC000337,ST004,20250327,13,17,28,602,Y
RT000338,Incident,INC000338,ST002,20250328,5,11,16,275,Y
RT000339,Incident,INC000339,ST003,20250328,1,1,2,,N
RT000340,Incident,INC000340,ST015,20250328,14,18,27,856,Y
RT000341,Incident,INC000341,ST015,20250328,2,3,6,674,N
RT000342,Incident,INC000342,ST006,20250328,10,18,33,,Y
RT000343,Incident,INC000343,ST002,20250329,7,10,17,,Y
RT000344,Incident,INC000344,ST003,20250330,10,14,28,1294,Y
RT000345,Incident,INC000345,ST007,20250330,14,15,31,,Y
RT000346,Incident,INC000346,ST005,20250330,4,5,12,558,Y
RT000347,Incident,INC000347,ST012,20250331,39,48,79,,Y
RT000348,Incident,INC000348,ST001,20250401,8,11,17,,N
RT000349,Incident,INC000349,ST015,20250401,21,24,46,573,Y
RT000350,Incident,INC000350,ST010,20250401,4,6,9,518,N
RT000351,Incident,INC000351,ST002,20250401,9,10,20,255,Y
RT000352,Incident,INC000352,ST003,20250402,1,2,4,1570,N
RT000353,Incident,INC000353,ST001,20250403,7,10,13,52,Y
RT000354,Incident,INC000354,ST002,20250403,32,83,107,,Y
RT000355,Incident,INC000355,ST001,20250403,1,1,1,,N
RT000356,Incident,INC000356,ST004,20250404,2,6,8,231,N
RT000357,Incident,INC000357,ST016,20250404,1,1,2,598,N
RT000358,Incident,INC000358,ST010,20250404,12,27,35,780,Y
RT000359,Incident,INC000359,ST009,20250404,5,11,17,1571,Y
RT000360,Incident,INC000360,ST001,20250405,3,5,8,935,N
RT000361,Incident,INC000361,ST001,20250405,7,10,16,857,N
RT000362,Incident,INC000362,ST010,20250405,49,73,94,863,Y
RT000363,Incident,INC000363,ST013,20250405,12,18,22,555,Y
RT000364,Incident,INC000364,ST010,20250405,13,18,24,1637,Y
RT000365,Incident,INC000365,ST003,20250406,12,27,38,1347,Y
RT000366,Incident,INC000366,ST007,20250406,6,12,15,,Y
RT000367,Incident,INC000367,ST012,20250407,2,4,7,36,N
RT000368,Incident,INC000368,ST015,20250408,2,4,6,278,N
RT000369,Incident,INC000369,ST007,20250408,3,7,11,20,Y
RT000370,Incident,INC000370,ST001,20250408,5,7,12,182,N
RT000371,Incident,INC000371,ST003,20250409,4,6,8,702,N
RT000372,Incident,INC000372,ST008,20250409,15,23,48,390,Y
RT000373,Incident,INC000373,ST010,20250409,1,1,3,860,N
RT000374,Incident,INC000374,ST007,20250409,2,4,7,67,Y
RT000375,Incident,INC000375,ST004,20250410,12,22,33,,Y
RT000376,Incident,INC000376,ST009,20250410,31,38,74,2608,Y
RT000377,Incident,INC000377,ST012,20250410,6,11,15,477,N
RT000378,Incident,INC000378,ST004,20250410,7,9,13,50,Y
RT000379,Incident,INC000379,ST002,20250410,6,11,13,,N
RT000380,Incident,INC000380,ST002,20250411,14,27,39,405,Y
RT000381,Incident,INC000381,ST001,20250411,1,1,1,426,N
RT000382,Incident,INC000382,ST015,20250411,6,13,19,20,N
RT000383,Incident,INC000383,ST011,20250412,43,66,97,574,Y
RT000384,Incident,INC000384,ST003,20250412,1,1,2,865,N
RT000385,Incident,INC000385,ST013,20250413,15,30,39,1736,Y
RT000386,Incident,INC000386,ST005,20250414,2,4,5,295,N
RT000387,Incident,INC000387,ST001,20250414,34,62,79,379,Y
RT000388,Incident,INC000388,ST010,20250414,2,5,9,20,N
RT000389,Incident,INC000389,ST016,20250414,17,25,35,1108,Y
RT000390,Incident,INC000390,ST012,20250415,25,37,76,231,Y
RT000391,Incident,INC000391,ST016,20250415,12,17,22,1780,Y
RT000392,Incident,INC000392,ST006,20250415,12,16,34,771,N
RT000393,Incident,INC000393,ST002,20250415,24,24,45,65,Y
RT000394,Incident,INC000394,ST013,20250415,26,38,55,237,Y
RT000395,Incident,INC000395,ST016,20250415,15,16,34,669,Y
RT000396,Incident,INC000396,ST009,20250415,2,3,5,121,N
RT000397,Incident,INC000397,ST016,20250415,4,5,10,98,N
RT000398,Incident,INC000398,ST010,20250416,8,22,28,514,Y
RT000399,Incident,INC000399,ST014,20250416,6,13,22,808,Y
RT000400,Incident,INC000400,ST002,20250416,9,11,21,192,Y
RT000401,Incident,INC000401,ST002,20250416,33,42,85,230,Y
RT000402,Incident,INC000402,ST006,20250416,20,41,50,2531,Y
RT000403,Incident,INC000403,ST002,20250416,15,22,31,445,Y
RT000404,Incident,INC000404,ST014,20250416,2,3,4,391,N
RT000405,Incident,INC000405,ST001,20250416,19,23,38,1832,Y
RT000406,Incident,INC000406,ST008,20250417,1,2,4,20,N
RT000407,Incident,INC000407,ST001,20250417,27,35,62,,Y
RT000408,Incident,INC000408,ST010,20250417,2,2,4,20,N
RT000409,Incident,INC000409,ST004,20250418,13,20,33,3637,Y
RT000410,Incident,INC000410,ST002,20250418,16,32,45,,Y
RT000411,Incident,INC000411,ST006,20250418,2,5,7,967,N
RT000412,Incident,INC000412,ST009,20250418,2,3,7,524,N
RT000413,Incident,INC000413,ST010,20250418,1,4,5,369,N
RT000414,Incident,INC000414,ST013,20250419,6,8,13,1262,N
RT000415,Incident,INC000415,ST010,20250419,12,20,24,20,N
RT000416,Incident,INC000416,ST007,20250419,6,6,13,,Y
RT000417,Incident,INC000417,ST010,20250419,22,23,46,,Y
RT000418,Incident,INC000418,ST016,20250419,1,3,4,133,N
RT000419,Incident,INC000419,ST006,20250420,2,3,5,,N
RT000420,Incident,INC000420,ST010,20250420,7,12,17,596,N
RT000421,Incident,INC000421,ST004,20250421,8,16,30,260,Y
RT000422,Incident,INC000422,ST014,20250421,4,7,13,,Y
RT000423,Incident,INC000423,ST009,20250421,15,13,28,1211,Y
RT000424,Incident,INC000424,ST006,20250422,4,5,8,221,Y
RT000425,Incident,INC000425,ST015,20250423,8,9,19,299,Y
RT000426,Incident,INC000426,ST010,20250424,9,13,19,1612,Y
